mp-1040471 Mn(PO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779050 V2Se2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771595 Mn2InC10BrO10 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1173129 LiMg4Al(MoO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176475 Li4V2Si(PO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176494 LiMn2O2F3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556535 Ca2NiWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758477 CoSb(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176521 Mg3FeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205669 MgCr2O4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1182136 Ag2Mo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1203476 Mg4FeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867734 VO2F Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-744188 TlCoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777525 Cr(NO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779358 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753149 LiV(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-35929 Cs2V2H2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19479 KVH2SO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1180501 Ba2MnGe2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178030 CrOF Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1318458 Nd2MoO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1203873 Ca2FeP2(H2O3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208009 Mg3V6Cd2Cu3PbO24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1037244 Ag2Mo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560522 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559975 Li2MnV(P2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759770 CsV3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221997 Sr2FeMoO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-776640 LiMnF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1662022 K8V2(S2O9)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752639 Na4Cu(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-4408 Rb5NdHf(MoO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1215766 CoH15N6(ClO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198060 CaMoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756075 LiMn2(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-699558 Fe3C10SO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-769093 Tm2Mo4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-1236 Ca10V6O25 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1180062 KCr2AgO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-541428 Li2TiFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211510 Li2TiMnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227876 Sr2NbCrO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-972384 Li7MnO5F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1105960 Li4Mn3Co2Sn3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212977 LiVP2H5O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772660 LiTl3(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559318 CsEr(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778976 Cs2MgCr2(H6O7)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1223057 Rb3TmV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753346 LiMnCo3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1277255 Ni(CO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100623 Li2Cr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778230 V2Cd6Se5O21 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753331 Li7Mn4CoO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774938 LiMn(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224835 NaMg4V3O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210016 K3NaCr2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-7825 K3VO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1285209 Li4TiFe3Sn2(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208079 LiMgVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752552 NaMg3In(MoO4)5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1569231 Li2TiFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1078906 Li3FeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209470 V3NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780148 Sr2NiTeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752618 Zn3Co2(GeO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10492 Mn2Sb2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1316653 Tl2Fe2(SO4)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1223496 FeP3(HO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223417 SrV2(H4O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227749 Y(FeO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-543103 FeMoClO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209331 CoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222675 Sr2FeSnO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-772974 BaSr(CoO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752427 BaNd(FeO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-578949 K2RbScV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194285 MoCl4O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18860 Ba3TiMoO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175683 LiFeSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220516 CoH2SeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1567945 ErMoO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175777 ThCr(IO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1182381 K2MoP2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561571 K2CrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-694891 KRb2Mo(OF)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212988 Ca2VIrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208680 SrLaFeSnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-4368 Rb3HoV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1662148 RbCrO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755458 Ba3V2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19219 Li4V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213174 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753080 Ba2V2ZnO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1283181 Na3Co2SbO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756015 Ba3Dy2MoO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-22754 KFeP4(H2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24827 CsUV3O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558211 Li3V2OF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195554 Pr2B2MoO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-38802 CoBiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-32465 V3(H3O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177757 Li2VCo3O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-757374 BaV2ZnO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758595 TlVH6SO9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1199248 RbNd(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25280 MoH12N3O3F5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773455 ScV(SeO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754167 La2Mo4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19363 Sr2V2Se3O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222601 Li3Mn2NiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100511 Zr(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755701 LiFePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24234 NaLi2CoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744181 MgV2(BiO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849749 Na8Ta7VO24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779070 Fe4O7F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-16814 Lu2Mo4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213049 Cs2Cr4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27511 HgMoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768850 Fe2Cu2Ge4O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213684 Li2VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-22554 Cr2FeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1103413 K2MnH4(Cl2O)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558917 CuNi9O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780660 MnCSO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204734 DyAg(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-14215 K2RbTmV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505402 Ca4MnFe3(SiO3)10 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1192170 CsDy(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19378 Mg(MoO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-868632 Li2Ni(PO3)5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756225 Dy2MoO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1201219 V3Pb5ClO12 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-560902 Tm6WO12 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-755215 NaCa2V3Zn2O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-675030 Ti2Ni(PO5)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1208109 Sr2Pr2CrNiO8 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-776661 K2Mn(SeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196510 Li3Mn4(BO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759479 Na3VPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1199670 Cr2XeF10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-584012 Ba3V4O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756794 Na2Mg5(MoO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211704 Mn2H2SO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559910 CrH18(O3F)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1570361 Li2FeP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-616555 VO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-24067 NaMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756178 LiVTe(WO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-12133 Li2MnFe(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850898 LaVO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1096875 Mn(RhO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1305475 Li5Fe2P2(CO7)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19300 La2Fe2Se2O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-565447 CaSi2NiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-9027 Li2NiP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755762 MgV2(SiO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-863961 V6O5F19 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752990 Li4Fe(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1181739 CoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757965 Li5Nb2V3O10 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1226430 Co3(OF2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1036184 Sr2Eu2TlNi2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193386 RbMn4(AsO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755283 V6O5F19 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770887 CsCoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770883 K2LiMn2O4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-743600 Cr14MoO24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100503 KNiAsO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26493 KNiH9(CO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753408 Cr(ClO2)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1276282 LiFePH2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-7803 Nd2W2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-863375 ZnSi4NiO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772954 V2CdO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555417 Li13Mn2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557603 Ba2LaV3O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-9754 La2MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756514 Li3MnV(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760100 Co3C10ClO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218324 NaCa3MgFe(Si2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554226 Li2Mn(CO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174373 Li4Ti3Cr2Co3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18301 Li3V2(O2F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559758 Ce(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227861 Na3PrV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849504 LiCo2OF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1224465 MgMn2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18735 MgCr(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753500 Ca3La5Mn7CrO24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-683600 Na14Co2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755925 SrMoO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1287556 CrSbTeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-769563 Co3(P2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758091 NdTl(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759085 Li3Fe8(BO3)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18914 Ti5Cr(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772626 Li2InFe(P2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759060 NiH7C3NO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-12771 NbVO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757277 Li2MnVP2(O4F)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-541493 CaCr2(CuO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554152 CoH2SeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227411 FeOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-735504 LiFeSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-644129 Li2Si2NiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754391 LiCoBO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768548 Te6Mo(OF5)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25233 NaFe(SO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221107 LiVP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19402 Li2VCrP2(HO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209180 KMnIO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26025 ThV2PbO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10213 SrV3O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-694898 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-753686 Mg30CrNiO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-505009 BaCo2(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192819 Sr2FeMoNO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-22730 LuVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755695 NaU4V3O20 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756116 Na2VHgF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1036803 Li2CrSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-864958 CsSm(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-542535 ErTl(WO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-23501 LiCoSiO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1178787 LiCoBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774605 Li4Mn3O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210666 Ti3Mn2V(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757268 Na5Nd(WO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-542317 Fe(SbO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-550781 Cs8Zr(MoO4)6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1211802 LiMnP2(HO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764512 Rb2CaV2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100777 LiMnP2HO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-605486 VO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19166 Na2CrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-603935 Li3Cr2(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1570791 KMnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1362694 Li4Mn3Cr3(CuO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778124 Li2FeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228762 Fe2HgO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178577 Li4Ti3(CoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753567 FeAs4F18 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201039 KHo(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-504566 Ni5Te(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-7672 K3NdV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193315 K2CrCuF6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-755514 Ca2TaCrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211208 AlCoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1651584 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19417 CaMnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-7747 ZnFe2(P2O7)2 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-1298274 Sr2TiMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-562048 Ba2V3BiO11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18897 RbLiBi2(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227826 V2Pb2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752789 Sr3V3BiO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753724 Ca2Gd2MnNiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554838 Li2Zn2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209549 Sc2(WO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763497 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-5644 VAsO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1313379 PrVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1076170 MgCr(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755468 MnP2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1196673 Th(WO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-562584 Ta2Zn2NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1190931 Ba3Ta2MnO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208436 CaCu2(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
