mp-1196872 Li4Co(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752589 Li2VFeP2(O4F)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-645568 Li3Mn2P2(CO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757766 FeHgO2F5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-562903 Fe2Te2W(CO)10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-630880 NaMnVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771340 LiCoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-622613 K2Rb4Fe2O5 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-753193 CaTi2Fe2(PO4)6 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1219606 V2Bi4O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1311179 Cu2NiSnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753929 Dy2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-674490 Li3V2FeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20032 Hf(MoO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1281224 MgTi2MnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-687239 Fe3C10SeO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217203 Li2Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755188 K2RbCoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770679 V2Ni(H4O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770873 Li2MnP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754544 Ca2Ta2FeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774694 Li2SiNiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556141 BaMo2(PO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772100 V2SnO7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1212425 KNaMo(OF2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753767 KSm(MoO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-549671 Na2CaV12O36 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753587 FeHO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218597 Cr2HgO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-690560 BaV2ZnO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780583 KNd(MoO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1277084 InCu(WO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1210841 Li4Ti4Fe4CoO18 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18960 LiMnPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213277 LiCrSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1105091 Li5Mn6(BO3)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174742 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558321 Rb2MnH12(SO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753558 NaMg2V3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-769559 Li3V2P4(HO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20299 Li8Mn7Sn(PO4)12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1192819 Cr4O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761111 Zn2TeMoO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757499 V2Co(H4O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1283577 Bi6Mo2O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1103911 K2NaNiF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1181907 Ta2VO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19310 CoSe2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18809 Li6Mn3CoO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1220031 Ni3OF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218688 Cr3Ag8(IO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1163942 Sr2Nd(FeO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1103967 Li2FeAsCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755106 MgFe(PO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765621 Li5V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216994 CoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767704 Dy2W2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19039 KLa(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203404 Sr2YFe2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-697764 V4Bi23O44 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-572159 Mn5Cr(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173820 Fe7P12WO48 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228250 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774653 Li4Y3MnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759794 CoH8Se2(ClO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1282537 MnCdO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192249 VCu6AgMo5O24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867597 VOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201770 Ni(AsO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761656 Mn2FeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19461 K2P4PtWClO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19308 K2Co(SeO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-759965 NaV2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176421 Li2Ti2CoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849273 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757558 Mo(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218243 Li2TiMnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-253 Mg10FeO11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1252214 LaCrHO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1295080 Na2CoH4(SeO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-698316 Li2V3WO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26638 CaFeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201718 Cs5Mo8P(H3O16)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541520 VF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766671 Sr2MnTeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17967 Co4Si(CO)14 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754235 YTl(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753135 Ca2VClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555364 Sr2La6Mn7CuO24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780181 V3(O2F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1104323 LiNi(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1279062 Li4MnCo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554745 FeH4(CO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-9175 VGeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777412 NaCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200253 LiCrSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771757 LiLa4CoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758941 Tl4V5CdClO15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1105916 Li3VF8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18720 Li5Cr6P5O24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779904 Cr(PO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223350 Na6U2Mo4O21 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-505469 Rb2MnH2OF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100902 K2Mo2P2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1195998 MnMoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173896 VPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176959 KTh2V3O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1321956 U(MoO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761137 Na2MnAgF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173887 NaMn2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177474 Re2NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-975958 Rb8Th(MoO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-782820 Li3V5O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1036381 K2VPO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1305082 Li2MnO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18914 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1181715 Cs3Mn4(PO3)12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1201686 Li2FePHO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18770 Cs2MoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1063607 V2PbO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1180501 VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196299 Li2AlFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195983 Li4Mn3V3(WO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1105126 Cs3Pr(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178402 MgNi(PO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-12243 Na2VCSO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1215273 Li5V4O12F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218450 Mn2PH9(C4O3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780739 LiMg4Al(MoO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758864 LiNiAsO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177895 Li5MnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178024 Li4Ti3Co2Sn3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213307 V2Cu3H2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755249 Ta2CrNO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210573 FePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26864 Li2MnGeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556847 Mg2CoWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221598 Gd2W2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1309882 Li2Ni3TeO8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-760315 Li2Ni(CO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-756814 Li2Mn5(Si2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776428 LiCoSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221945 Na2Co3O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220757 Fe(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18844 CaFe2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-21600 Ca3FeRhO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176906 Li3Mn2(SiO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556461 UV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175321 MoPb5O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1639032 Y2Cr3(SiO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1011858 LiMn3CrO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-625407 Sr2CuWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177329 LaMoClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19087 Ba3TiMoO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1204389 ZnNi3P3O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228045 Rb2Mo4O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-24576 Tl2Mo7O22 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759533 ZnSi2NiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1638873 VO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1179723 BaNdFe2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753361 CsLa(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10468 Tl3V5O14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770650 Li4Cr3GaO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756584 Li4Mn5Ni(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222159 Mg2VBiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752492 LiNi(PO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561998 Li2V3SnO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756221 LiFe3P3O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1106360 Mo4H8N2O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773455 ZnCr2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560175 Na3LiMo2(H6O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176528 BaCa(NiO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-913 CoH18C4N7O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1275124 CsMo4(PO4)7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755517 LiCr2(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213695 Li(CoO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-652366 LiVSi4(HO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755125 Li2MnFe(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-603606 Sr3Fe2Cu2Se2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1272771 Li3(CoO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756530 MoH8N2O5F2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175655 MgVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214115 SrCa7Mn6Al2O23 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-744832 Rb2Cr4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26415 HfCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756247 HoCu(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761233 ZnCr2(CuO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20223 Li5Ti2Mn3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1229147 Li3VF8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-560699 Ba2TbV3O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-6278 LiCoPHO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-14335 ThV2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757681 MoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1099938 LiMnPH2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18909 Sr3PrMn4O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1661337 Li2SiNiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753828 Fe3O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755861 MgCr2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-769658 V2Te2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774784 Li14Cr2N8O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176521 MoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174024 Li2V3F8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764770 LiMnPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1220201 SrLiTi4CrO11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-933 Mg2Ta2Ni2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756640 Li2Cr3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198636 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1279742 Li4MnCo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-551629 Li7V(O2F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867558 LiMoP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-645743 LiV4OF11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1277673 MnSnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-763482 YMoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-578604 K2MoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-510248 Ba2V2BiPO11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-12902 DyCr2O2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752988 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-8638 K2Mn(C2O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755657 Rb2Mo2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771974 Li6Fe(SiO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780652 TbMoBrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771575 Li3MnFeCo(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756589 K2Cr2AsHO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100504 YTl(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1182780 RbMg30CoO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559696 TlVSeO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774916 CsV2SbO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17510 RbSm(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18849 Li3Mn(OF)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-781615 KMoAsO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-2198 La2CoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758030 Li2MnV(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1220238 DyMoO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-705433 Li2Ni(PO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768304 VZn6P3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210945 Li2Mn2F7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-12194 Li4V3Fe3(SbO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208680 Tl4V2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222639 Sr4Fe3ReO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765964 FeP2WO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1100620 NaV13O18 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561129 ErMoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756520 LiMnSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177540 Er2WO6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-757930 Ca12Mn8Si7(H5O16)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773516 Na2Cr(HO)8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-775301 Mn2Al2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761062 CaMnIrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754053 NaNd(WO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-778859 FeOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228694 NaMoO3F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212867 YMg30FeO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210261 Mn(PO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766507 Ca3Al4CoO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744347 NdMoClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213187 Sr4V2(Se2O7)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867733 Rb2Be2Co(O3F4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765761 SrCaMn2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176895 Cr3H8(NO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1661938 LiMnPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1205217 LiV2P3O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777828 Li2FeOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779474 ZnCr(GeO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-758078 Gd2Mo5O18 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19097 Na2Ni2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1111099 LiVCO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758440 Ba2CoSe2(ClO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556429 ErTl(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777381 DyAg(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753243 LiTiCrO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-505688 Nd2CoNiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198653 TiVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-698567 ErCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17729 LiCo(CO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1193015 Li4V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-769539 Li2VCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-604368 LiTi3VO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754633 LiNiPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1308212 Ni(IO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1111530 Cs2MoS3O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20168 CoH22C3(N3O4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
