mp-1199268 K5In(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771021 RbMg30CoO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778744 LiLa(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-545522 BaMgMoF7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-22243 CaMn2(H2O3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1204738 LiMoIO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1296469 V3Zn2GaO11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759427 LiFe(Se2O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1274308 VPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174004 MnPH2(CO)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770752 Li10Mg12Fe(PO4)12 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1278467 Li4V3Fe3(SbO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228970 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775982 LiCr(CO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210051 Ca4Al6CrO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-24036 PrMoClO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1016853 Li2UWO7 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1211497 ZnCo4(CuO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1651584 Li3Mn3NiO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1219582 MgCu2(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765139 Ba10Co7(IrO10)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1200820 LiCr2P3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755275 Na2VAgF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756894 LiVO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176742 Ba2NiTeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176405 Sr2MnNbO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755365 K4Th(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559838 Sr4Mn3BO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1282494 Cs2KCoF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761001 RbLa(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1569717 Li2FeOF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761167 Ti3Mn2Nb(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31124 CsK2LaV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757873 GdVO4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1176201 Na3ErV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777497 BaLa(FeO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1216064 CsMn2(PO3)6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1666882 ZnCu(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-863371 Sr2NiSe2(ClO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744567 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226105 HoCrTeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777273 Mn2P2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26600 Li2CrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755966 KCaFe2F9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1286807 Li2CrCo3O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-775162 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1305896 RbLaMnWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555970 MnCO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223374 KNa2NiO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194559 Li3Cu2(WO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196718 Ag2Mo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-28331 VH12N3O5F2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555908 Li5Mn3O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-768851 Li2VO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-770839 Li5Mn6(BO3)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176731 BaLa3TiCr3O12 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-644129 LiVSnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765572 Na3MnP3(H12O11)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766836 FeHO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100684 Mo2P2O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200859 V2Pb2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210390 Li2FeP4(H4O5)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178214 Ni2Hg2OF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1036194 Cr3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-15481 Li7Fe8(BO3)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761125 Na2V2ZnO7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-683666 LiVSi3O8 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1211767 KSm(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-643 CaMn4(CuO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-687091 V2P2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756355 Mg2FeO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-21355 KMoIO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759745 Li2MnSnO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1180602 CsVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-691115 Tb2Mo4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753204 MgCr2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1210561 V2SO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213685 Li4Ti3Mn3(WO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757613 Mo3N2O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754438 Li4V(TeO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560699 MnAlO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19351 Fe4SiO9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1211449 VZnSiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228733 Li2CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228550 K2BaCo(NO2)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194849 YTl(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758248 Mo2H2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768927 Li3MnVP2(O4F)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780664 Sr(NiO2)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-5516 Pr2(WO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175633 Cs2Mo(SO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217056 Li2FeGeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765223 Li3MnV2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778404 RbV2Fe(AgO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766052 Li2MnPO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-758390 Sr2Co2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1646598 Li14Cr2N8O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1182181 Na5Tb(WO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753340 Li2MnOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-4408 UVAgO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-13999 Li4V5Sn3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1290831 Cr3H8(NO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1101223 LiSm(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227669 Li2Mn3P9O28 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554617 NaLi5Mn2P2(CO7)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-754959 Na2MoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1288982 K3Ni(NO2)5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-720800 BaMn5(SO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221575 Na2MoSeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1079362 Li2NiP2O7 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1013565 K2LiFeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1197813 LiVSi4(HO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560869 Li2VFeP2(HO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554531 Rb3V(SO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1076193 VPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200387 LiFePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227834 MnPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212348 Na8Hf(MoO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863360 TlCo(CO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1095213 PrZn(FeO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561398 Cs4BaV6O18 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203525 Ba2Fe2S2OF2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779090 Li3AlNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1040266 K2Mo(SO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757440 Rb3V5O14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756613 LiFeF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758638 FeSbO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1003311 Co(AsO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192358 MgNiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756185 Dy2MoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1292648 Li2FeSn(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774305 Rb2Cr2Cd(H2O5)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-555993 CaTiCo(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1180509 YSb(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556157 Li2Ti2Mn5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178577 CsVGa(PO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213684 K2MoAs2O9 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-777770 NdTl(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18973 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196029 Li9Fe3(OF7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221594 TmWClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1021504 Mn3B7BrO13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1297720 Al(CoO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772563 Ca3Co2(SiO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25280 FeTe3S3Cl3(OF2)9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-695780 Li2CoSi3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-584129 Li2Fe(PO3)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23094 Ca2FeSbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1272167 Na2NiH8(SO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223396 K2MgMo2(H2O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863388 BaCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18779 Li2MnFe(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-604490 Sr2TaMnO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1209245 MnH(CO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770950 VFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-584637 FeOF Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-504723 Li2Cr(PO3)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758879 Cd(CoO2)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-10603 SrMnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18994 V2Zn2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25293 VPO5 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1318458 Mn2O3F Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-757170 Li24Ti7Cr5O36 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1237178 KNiPH2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761573 Li3MnV(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221075 CoH2PbN3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194659 BaV2ZnO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557563 SrCo(GeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228142 Li2V2P2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-5772 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1641568 Li2Ti3VO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1287553 K(MoO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176685 TiFeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222520 MoH12N3O3F5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1568822 KMnO2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1199880 Sr4MoN4O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773512 Li2MnFe(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755064 AlV2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18908 MoPH3O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1195152 FeO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744600 LiNbCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1567250 Ba3Cr2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194285 Li2Zn2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1191389 BaMn2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228731 BaNiO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754654 BaMo(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20798 V2Cd2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24597 YWBrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1319442 K3CrPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20052 La4Cu6(MoO4)9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227411 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-505766 Li2VFe(P2O7)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1094123 LaCu(WO4)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-560902 Ba2Fe3F10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177585 Li2CoSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756609 V2Bi4O11 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-867687 La2MnP2O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200032 Li2Mn3SbO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-704299 FePO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-558070 La2CoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753206 Li6Mn(FeO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756976 Fe10OF19 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208762 Sr2MnTeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-14381 Li2Mn2(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173896 VBO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756826 BaFe2(P2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193172 VF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194636 Li2VF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752861 Li3V2(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774359 Rb2Mo(OF2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204461 ErCoH8C6(N3O2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1663238 Li5V3P8O29 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756518 BaBi2(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777852 K3VMo3H4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776308 CaMo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850899 Ni(AsO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1111529 Dy3BWO9 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-763186 Li3V2(CO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754167 Li2MnO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755571 VZn2HO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174780 ScMn(BiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772174 Na3SmV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774622 Na3FeAsCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-696580 KSrVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209482 MnAsO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-776428 Tm6WO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776438 Li2VO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753135 Ba5V3ClO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-696217 Li6V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218213 MoAs2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-9392 Li2Mn3NbO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175691 Cr3Co2As2(CO)20 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1275120 Mg30AlVO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-31239 Mn3(AgO2)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221457 MoWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764002 TiV3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1297038 Ti3FeO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768833 Tm2WO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1175955 Na3Fe2P2O8F3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1304822 KLiSm2(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210849 Li2VOF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772640 LiFe4(BO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771705 Li2VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
