mp-1193901 V16O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-705042 FeCo9O20 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766500 CdMoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754959 ThV2PbO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558848 LiSi2NiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10619 Li2FeSi3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756520 KVOF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758961 PrV2IO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1569682 CoP3H16N4O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174418 Mn(ReO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505040 NiP2(H4O5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753902 LiCrPO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-504414 Li4AlCr3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780184 MnV4FeO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-532545 Sr2Co2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18041 Li4MnCo2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770715 Li(CoO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-626701 Sr2NbCrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1111939 CaMn7O12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-758617 Na4Mo(NO)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-759937 K2MnF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780856 LiVSiCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195447 Li4Mn3Nb2Fe3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775018 Li2SiNiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174240 LiVSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208716 Ca3ScCoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26773 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-23637 Ga2FeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176999 KLa5V2O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560582 NaFeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-543061 Li20Co21O40 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176820 Li8Mn5Fe3(BO3)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213197 Dy2NiRuO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200438 Li7Mn(OF)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560199 NaNi2H3(SeO5)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1198472 Y2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770843 K2CoH12(SO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755055 La2CoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1226781 Na2MnSiCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863371 La3Mo4O16F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194619 La2MnRhO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209259 Li2Cr(FeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771000 V2PbO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-505263 La2TiNiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1299481 CoH15Br2(N3O)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1301543 TaVO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-631 KNiH9(CO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779262 Ti2MnNiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19021 Mg2FeIrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-642792 LiVF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175454 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1229042 Mn9Zn3O16 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-849482 CsCoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556911 NiH12S2(NO5)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1245166 Pr2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174479 Fe(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754585 MnZn3(FeO2)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765753 VF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753344 Li2FeO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1202316 U2Tl2Mo3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-698316 MnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768077 Li2FeO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1296462 VOF3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1214599 MnSe2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208589 CaNi3(P2O7)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-755246 MoH12C2(N3O2)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1177598 ZnCrF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754547 LiNiPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760206 Ca4Al6CrO16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540566 VAgO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177332 LiVSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850898 LiMnAsO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-696441 LiCr3P4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765009 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542979 SrLaMnMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-639714 Yb2Mn(GeO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-891956 Li2Mo(PO3)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-698797 Sm2(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753554 Sr4Mn3BO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1182375 LiNiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222326 Dy2W2O9 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1284649 Mn3(OF)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1649836 Li4FeOF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-572452 V2CdO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-5967 Li4Mn2Co3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758653 KMnSn3O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-771120 TbVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-640765 AgMoAsO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-510732 Mn3(OF2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-647352 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-9190 Li2MnPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758075 Zn2FeWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-646670 Pr2(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756813 LiVO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-29283 LiAlFeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-623098 Li2Mn3(BO3)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-561743 Na(Mo2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-627380 LiMg4V3O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24296 Li3Fe2P4HO14 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18571 Rb3CrF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1229147 Cr2PO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17759 K2UCr(IO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777446 Na2CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759521 Na5Y(WO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764642 Ca2CuWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-31378 CaMn2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19131 LiVTeO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-22243 CaCr2O4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-562523 RbBi(MoO4)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-20407 Li4FeSi2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754670 Li2Fe2Si8O19 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1567270 Li2CrFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752834 TiVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555327 FeBO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222689 Li2MnSnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557475 Rb2Mg2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-997159 Li7Mn2(CoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753504 Li3Nb4VO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218935 V2SO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755709 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-868632 ScCrO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1197813 Rb2NaCoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198777 Cs2MoS3O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756154 K3VSO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755048 CsFe(SO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-29984 Cr2Cu5(P2O9)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217781 NaMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-698748 LiCo(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1197894 NdCoSbPbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1575669 KEr(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780858 LiNiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178817 VGa(CuO2)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1222932 MnZn4O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224465 LiFe3(P3O10)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-715584 BaCo2(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849733 LiNiPO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1228167 LiVPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175428 Na2VFeF7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20014 Mn3Cr3(WO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768729 Na2NiPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560699 KTm(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1283877 Sr2AlTlFe2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775301 Li4Co3O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1272804 LaVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19267 LiNiPO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-768845 K2Th(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756826 Sm3BWO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-28338 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756001 MoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208048 Ba3Tb2WO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-11633 Ti2Fe(PO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771048 Li2Fe2(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218391 Ca2Ta2MnO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780676 LiV(CO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756450 Li2Cr4P4O15 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-770505 ZnNi4O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560760 Ba2Pr3(CoO3)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228731 TbSbMo2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867723 V3O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227848 Li4MoO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223502 Li6VFeP2(CO7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1303296 Mn3(OF2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196356 Mo(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-16679 Li3Mn2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201876 Ni2As2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-562903 Ba2Nd2Co4O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175298 Na3MnPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176824 Li5Mn2CoO8 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1640617 NaMnAsO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1211601 LiV(OF)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770829 VO2F Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-556925 Li2VP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760053 BaCo2(PO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1037038 CsTiNiOF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173972 KV2PO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764994 NaMn8O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198581 Li4V3CrO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758084 TmWClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-651106 TlV2AgO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27479 VIn(SeO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176521 Li4NbCr(WO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761026 LaAg(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210923 Sc2CrReO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755739 Sr3La9Mn10(CuO18)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1247635 V2Cd3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705014 Ca2TiMnO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1233601 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753012 Li2CrFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771195 SrV2ZnO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-5800 V2H38S4(N2O9)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-752622 Ta2CrNO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766424 CsMo2P3O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753985 V2Cd6Se5O21 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-774512 Sr6Li2Cr2N8O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-769539 V2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209133 BaFe2S2O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228244 Sr2Ca6Mn5(FeO8)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758752 Ho2Mn(GeO3)4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-504184 K2VPO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227193 Li3MnOF4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-757198 Co(HO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177931 LaZnCrCuO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752601 Dy2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560285 Mg6MnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849528 VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100934 Na2Cr4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-23595 Mg2TaMnO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1113894 LiNiPHO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1249045 CrPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755982 Al2NiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771960 LiVO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100686 Li4Y3CrO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773033 Li2Ni(PO3)4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1568809 K2Cr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766124 U(MoO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201992 Na3NiBAsO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554340 Li2Cr2P2O7F2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-763051 TbAg(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766050 KMoAsO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1304800 MnC5IO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1176494 Cr2Te4O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773177 CoTeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752653 Ti3VSb2(PO4)6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-760066 LiV8F33 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193226 Li3Fe2Co3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761197 MgVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561940 MnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1225274 Na5Mn2P2(CO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175843 Tb2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757593 Sr2CoSe2(ClO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19438 ZnCoTe3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200936 Al2NiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-891955 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755966 FeO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19461 Ca4Al6MoO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19305 Li7VGeO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-766101 KCrF6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-777804 LiFeF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505193 LiMn2(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556209 Li4(NiO2)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867106 MnH10S2(NO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1298969 HoMoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193441 Li12Mn3CoP4(CO7)4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1176190 ZnCoBi2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228275 Li3(NiO2)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1197180 V2Ni(TeO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
