mp-562767 KVH6SeO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753703 Ni3P2(HO)16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-769967 MoH14C6N2(O2F)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218332 TlV2AgO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759872 Cs3MnZn3(PO3)12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-648633 Li7Cr5O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770839 Sr4Al6MoO16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760314 Mo(HO2)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-541368 MgNi3(P2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221047 NiSn(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755668 Zn3Cr3(AsO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173115 Ca2CoTeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1201772 Y2Mo4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228204 Li2V3O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556535 Li9Mn7O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10492 Li4Y3MnO8 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1192111 TbVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1262197 LiV5H18N2O19 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1262752 LiNiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754772 Ti3NiBi2(PbO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776640 Ba10Fe8Pt2Cl2O25 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-14381 LiNbFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756441 NiCO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-756141 MnOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-505811 Sr2V4Te2H2O17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1282857 Li4MnCo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177540 Li2Si2NiO6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-774816 MgTeMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1205906 Ba3MgV4O14 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-775412 K2MnH4(Cl2O)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756613 RbSm(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558509 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774250 La7Nb3(W2O15)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1651584 Na2CoAuF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1096881 ZnNiP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211463 CrPC5Br3O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211656 MnH2SO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850428 Rb8Fe2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1571054 Na2HoPWO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26985 Li3VF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210475 CaCr4(CuO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755778 CoH2PbN3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18789 NaFeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-672176 KSm(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18853 MnSn(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227032 Co(RhO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-22458 Sr2MnGe2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-683600 VHgO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771344 SrFe2Se2O Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867519 LiV(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766099 Na5NiHO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755187 MnWO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17724 MgNiP2O7 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1223582 K3Cr(HO)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755862 CaFe(GeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765646 Nb12WO33 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755739 MgMn2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558051 V4O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777758 VO2F Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-744639 Sr4TlFe2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223386 MnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221062 YbMoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849551 K2SrTh2(MoO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216763 Ca3Mn2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-559926 Ca4ZnCo(Si2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554482 Ba2La3Ti2Cr3O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755415 LiVF4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-753533 Ba2Mn3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211145 Li2MnCr(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849524 KMoPO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223519 KVSO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-643263 VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19137 Na5Y(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192328 TaFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760996 Ba2Fe2Se2OF2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-849411 K2Be2Co(O3F4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-510568 Li2TeMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-540833 Li3V5O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173961 BaNd2Mn2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-761282 DyWO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-624009 Li4Mn2Nb3V3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755545 Na6MnO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756572 Li4AlCr3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227034 KVH4O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19453 LiFePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554340 Cr2P5O16 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1079680 MgMn2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-510459 Na3Mo(OF)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559172 Sr3Sc2Fe2As2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766095 CoO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755332 LiMn(PO3)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-752417 Dy2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756848 CoTeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-743698 KLaMoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-645796 Li2CoSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757406 Na4FeNi(PO4)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-559606 Li2MnF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177214 Li4V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754456 K3VH2(CO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758776 FeHO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753609 LiVF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555784 Li9Cr4P4(CO7)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1096819 MoO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173939 NaV2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176232 Li2Fe2(Si2O5)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17445 Li5Mn2Fe3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1285067 LiMnP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756185 RbLiNd2(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558221 Li2UWO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1182001 Li2Ti3MnO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561743 Li6CoOF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222347 Li2V4CuNiO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1201910 Li2Cr(CoO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-619611 Li5VO3F2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-24068 La3CoW(SO2)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559809 Na3NiPCO7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-647867 LiMn2(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209431 Rb3Li2Al(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758214 Hf(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1568137 NdBMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559503 CrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1187744 Li5NiOF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200041 Li2V2P2O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561519 Na2Cr4O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-553887 LaSbMo2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20794 CaCu2(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176092 KSc(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213836 Li7Fe8(BO3)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18951 ThCd(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1201692 Li7Mn2(CoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-27704 Li7Mn4CoO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-630880 MgMnAs2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-15457 Li4NiOF4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-760391 K3HoV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776294 VZnF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761051 YV2BiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1276200 ZrMoWO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1188841 K6Na2Pt(WO6)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199746 Na2NiH6C4N4O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757614 RbSc(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173402 Li3Cr(NiO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-705395 Mn(PO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-510625 MnHO2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1282570 Li2TiFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218175 Li2TiVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222638 FeSb(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780765 LiMg30CoO32 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1201137 CoSb(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753494 CrO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761337 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218702 Li3Mn7O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-3915 TlFe(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-30215 BaV2ZnO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756178 NdV2IO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779877 LiV(Si2O5)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-625714 Co6Te3(ClO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101535 LaMgFeWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210092 Rb2SrV4O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-5074 K2Cr4O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759404 Li4TiCo3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1264049 LiV2O2F3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755514 ZrV2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-780123 V2Pb2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754585 V2Se2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1271282 Na5Y(WO4)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-558066 Nd3BWO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754887 Sr3TaCoO7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1076885 Li4Mn5Te3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-30136 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771144 LiVCrP2(HO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849362 Fe2P4Pb3O17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-643412 CoH12(BrO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209629 Li2MnSnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777878 Li3CrPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776596 Li3TiV3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217119 LiAlNiO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17766 MnSiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-600224 Mo12PH24C6N3O40 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772982 Mn5(P2O7)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18494 CoSiC4Cl3O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863360 Ba3LaV3O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175688 ZrMnH10O5F6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196917 Li4FeSb(WO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18909 Ca4Mn4O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1225454 Li2FeSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-605486 SmCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210666 Li4MnCo2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19226 Li2Fe2SiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774155 MgVBiO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-504196 Li2MnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754639 Cs2SrV4O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772237 VF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1207730 Li3NbV3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218267 Mg2Co2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18837 Li2Ti2CoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777388 FeF2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752618 LiCo2NiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772093 Ti3P6WO24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753554 TiCrSO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19770 HoTl(MoO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-774365 LiMn2F5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173612 Li2Mn2P2(H4O5)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757128 LiMnP2HO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1037256 CoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-531041 LaAg(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-24111 La12Ga23WO56 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18984 LiVSiCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557413 Dy2(WO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774491 V3Pb5O12F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-642157 Na2MoSeO6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-540969 Na6U5V2O23 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759466 Rb5FeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-714885 Sr2FeSbO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19197 Cr2SiO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1222345 LiNiAsO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554093 LiNd(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753491 Li3VFe3O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1080243 MgMnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175691 CoH2Cl2O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-745180 Ca2MgFe(SiO3)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1223496 Ta6Mn2Zn3O20 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772029 Sr2Mn2AlTlO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772951 MnC5IO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754904 Li7Mn4CoO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764743 CuBi(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1076627 Li4Mn3Fe(BO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1186345 LiMnSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-12581 K4NaV10O38 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174494 LiFeP2HO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200109 RbFeO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755432 BaYFeCuO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752702 Sr7CaFe4(CoO6)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768425 Sr2CrWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19374 Li4MnCo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1003311 FeClO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-773184 Li3VSiCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770341 MnSeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222009 LiVCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558211 Li7Mn2(CoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849607 K2RbPrV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1291800 LiMn4P7O24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849295 KCo2H3(SeO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850911 LiFePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1013910 FeSiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765992 K3NaCr2O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1218452 CoSiO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-11654 Mo(CO)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754793 Mn17Fe13O40 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1662219 Fe2P2NO11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200032 LiVF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561778 Li2V2SiGeO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1305656 Ca2MoWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557663 Tl4Mo5O17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759138 GdMoBrO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1175162 LiMnP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19318 Li6V3P8O29 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-557669 Ta3NbV4O20 Prediction: 0 Actual: tensor([0], device='cuda:0') 
