mp-753489 Li3V2OF7 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-694888 MgCo4O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1199642 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-698648 Cr2C13SN3(O2F)5 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-753754 NaCo(N2O3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1197332 Li3FePCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208009 Li4Ti3(NiO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1278892 K3MnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177907 Li5FeO3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-42020 Cr2H8N2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-581225 YV(TeO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-624009 CaCeV2O8 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-17982 LiVPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752778 MnPH2CO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221066 Li3Co2(PO4)3 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-780154 Li4Ni(PO3)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780087 LiFeCoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849998 V2Bi4O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1197976 Na2SrV4O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177858 LiMnPO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1222732 Na2Li8U11(WO22)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19315 MgCr4O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1290410 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212576 Mn2Sb2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761656 Ca2CrWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774155 V2P2H6PbO14 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766127 HfV2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771027 CoH8(ClO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-12752 TbCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176839 Co2(SO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-34501 Co(AsO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-38802 LiV2OF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193007 LiCoSnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755844 SrV4O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761002 Na3Ni2SbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1197450 Ba2FeWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752814 Na6CoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-699660 Li4Mn2Fe3Ni3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541211 Co(RhO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203083 Na3LiMo2(H6O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222967 NaFe3(PO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-779060 CoH2(CO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-32465 VAsO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-6377 Ti(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-6920 Rb3V5O14 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-17170 Co2SnC8(ClO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770949 Li2VPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556586 Li8FeNi9O20 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-643564 NiH12S2(NO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1216798 Y2Co2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764796 KAl(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-851029 TaZn2CoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176014 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1191085 LiFePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217517 CoH15N6(ClO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-546989 Li2Mn3NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850743 Co2Ag3SbO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-603935 LaFeAsO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559185 TlMo2Cl7O2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505040 K2SrTh2(MoO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1205906 MoH8N2O5F2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756606 Co6O5F7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20221 Ga2Fe2Bi2O9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1284649 K3ScV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1299846 MoF5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1198591 Fe3C10SeO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1284624 Na3V(H14O11)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19175 Fe10O9F11 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-25954 Li2CrCo3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-545469 VSnPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10625 Ba2NdV3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173946 Li6V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-971678 LaMnSbO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755283 V3(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19391 Li4Co2C4SO16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764848 Na2FeSn(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764345 K2MoS3O Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176357 NaBi(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753004 RbNd(MoO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-561940 Li4Fe3(OF3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558327 LiVPO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-23388 Li3CrPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554446 LiVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753308 MnC4IO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1104788 VF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778814 CaCrH2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772183 LiMnF3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756249 Na3V(SO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19133 Mg3NiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-16799 KCo(CO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1095571 Li4CrCo2Ni3(PO4)6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-744534 Ba3CaTiWO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771954 KMo2Cl7O2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774464 Ca5DyTi5Fe(SiO5)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1103970 CrPb5O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-755176 Ba2TaFeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752872 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-551760 Ca2Ta2FeO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555794 LaFeWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-562561 NaV(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-1286 Y2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18996 BaLa3TiCr3O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-510589 Na5LiCo2P2(CO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1279979 LiCoSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1244503 Sr2TaVO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752965 RbV2SbO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218702 LiY(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202861 Na2MnPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764294 BaV2CdO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201132 LiFeSnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756807 Li2VFe(P2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754294 Nd2Mo4O15 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1177916 LiFe2OF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757550 Li2Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756161 Fe3(P2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214680 MoP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753143 LiFePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766586 Na6MnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210973 Li2CrO2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-759237 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213522 Ba2NbCoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1318458 VF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19329 Fe3(OF)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561743 Ba3SrCa2(MoO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-22408 LiCr(CO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177020 Co2NiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1205667 FePtO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756162 ZnCr(GeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849993 Li2VBPO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-33009 Na3CrSiBO7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1222216 Li7Mn4CoO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-763216 NaVF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31907 Li2NiP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-781081 Sr9LuV7O28 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754656 Nd3BWO9 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-770693 Li6CrO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1314584 ScVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1038344 TiFeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173115 Li4Ti3Ni2Sn3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776053 Rb2Cr2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-25234 Na4Cr2H6O11 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-735504 MoPNO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1004037 MgZr3Tl10(MoO4)12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-23637 V2CrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756046 Cd4NiH20(ClO)10 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-18939 Cs2CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1272303 NaMg14MnO16 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-558785 Na2MnSiCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18745 LiAl(MoO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-17630 LiMoIO6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-757359 Li2CoP2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-756362 Nd2Mo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759514 Li4Mn5NbO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19075 LiMnP3HO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753579 FeHO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214034 Mn3Al4FeP4(H4O7)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227420 CaMn2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174283 Rb8Th(MoO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773399 YMn2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1003322 Mo2P2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776992 Rb2NiO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18914 MnRe(CO)10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205280 DyMoO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177394 Na3VPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705847 Li2VSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218631 Na6MnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-15481 TiMn2Fe3(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541493 Li2TiNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775943 CaV5H19O23 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776458 MoH4O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101535 LiMn2O2F3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196979 Nd7V2BO17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557676 ErMoClO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774338 SrLaTaNiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1647971 Fe3Ni2Te(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560760 BaMnCO3F2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222689 ZnCoTe3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209469 Ta2CoO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1205225 Li2NiBiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558830 CaFeP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224411 Li3CrP2HO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753270 Li3V2CrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174036 Sr2VMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17445 H48PtW6C8(NO)24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760160 Na2Te4MoO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-636731 Mg2FeIrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-767701 ThV4O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777369 Li2FePCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1199703 NiPH6NO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19752 Na3VB6O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1640620 LiCoPO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-720829 Ag2Te3Mo3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1301543 Cd2MoWO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1210722 MoH18C5(NO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18897 Ni(CO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174755 LiCoH24C8(N2O3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754772 Li2Ni(PO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557475 Fe5O3F7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776504 V2Te2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760089 Li7Mn2(CoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10462 LiVF6 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1203751 LiMnV(P2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218711 Li2CrPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175281 Tm2Mo4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211994 Mg3FeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754077 Li2FeSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101185 Li3Mn(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-9754 Li3VSi4(HO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-540093 K2RbSmV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19291 Li2MnFe(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100906 Rb2FeCuF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753469 Co(HO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176352 V2ZnO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757411 Li4V2Co3Sb3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-27150 Li6MnV3(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560071 LiFeSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758241 Cs3Mo2BrO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759509 Li4V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776555 Li3V(OF)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223021 TiBi8W(BrO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-888 LiMg30CoO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-553947 MgV2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23999 FeOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1104220 Mn12O5F19 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223617 Dy2MoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-777051 Li14MgCo13O28 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1280664 Li2Ti4Co(AsO5)4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-20287 UCr4(H3O4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753066 TlCr4BiO14 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560484 Li2TiFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561398 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759216 Mo3NO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17542 K4Ti3Co(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772509 CoF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-929 Ca5V3ClO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211563 NaMnPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211574 GdCr3(BO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744463 CaNi(GeO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-13435 LiCoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-683863 Sr2MnWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
