mp-1176091 Li5TiMn3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-864958 Sm4Mo4O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770667 CoH22N7(ClO2)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778814 NaV(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761233 Ca2TaCrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213191 LiMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18545 NiPb2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18943 CaFe3Si2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199327 LiCoBO3 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-699914 TiFe5(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1274793 Na2FeAsCO7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1209470 La4Ni3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755951 CsVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560522 LiVPHO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1239377 Ga2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557020 Fe2AsSO9 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19455 MgV5H20NO22 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1176479 Pr(NiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1104481 K2Th3Mg(MoO4)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213306 MgFe2O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561519 Mo(NO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-14400 Nd4FeS6O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-631247 Mn5(SO5)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849771 TlCr3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850982 Mo2P2PbO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-33857 Sm2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192455 ThV2SeO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178864 K10Hf3Mo12PbO48 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759726 K8Li9Mn4O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1216053 Sr2MnGaO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1215303 Ba2V3BiO11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-743697 KMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209331 LiMnNbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25053 Ba2CoSe2(ClO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-752578 LiMn2(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25985 VZn(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-622278 SrLaMnSbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214297 Na3CoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1650315 LiAl(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-767620 Li4CoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753001 LiVSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1219634 Co(HO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765733 Li3V3Cr2O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754059 CrCuO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-697828 La2TiCrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-746670 Na2FeSO4F3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176309 InMoHSeO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559532 KHo2Cu(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-698854 RbNa2CoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772093 Li2MnCr3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779165 Rb2UCr(IO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-625744 VPPb3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764629 BaTm2CoO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195674 Li9V2P4HO18 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-23785 SrFe2Se2O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177382 Ta12MoO33 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756075 Mn2PH9(C4O3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774821 NiSeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1219784 CoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18251 RbV(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1225274 Li4Co2Ni5O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1572588 Li2FeCSO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774950 VH4NO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1312160 Mg6MnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208762 NaNd(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770362 Li2CrCSO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-625246 Rb2Cd2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19340 LiMnF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1282494 LiNiPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-21856 Ca2ZnFe(SiO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101185 Ba3Ta2NiO9 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-1228762 NaCrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1641247 Nd3BWO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223314 Li7Mn2(CoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556209 Si4MoH36C12(NO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754259 Li2Ti2CoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-684742 V5BiO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218944 CaCr2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758701 FeHO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-735547 Li2CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559772 CaMn2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1647042 Li3Nb2CrO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1111099 Li3NbV2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1037086 MoW11O36 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-16917 Li15Fe15SiO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174169 Na5Ni2P(CO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752646 SrLaVO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-652 Li6TiCr3(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755055 Fe4O7F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-694994 NaMg3In(MoO4)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177174 Na3NiBSO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760800 Li4V3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757086 InNiAg2F7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211658 Li4MnCo2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778744 MnTe(PbO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20287 K2VPO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1197579 Ba3MnO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19107 Na3VH11IO13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1076195 Sr2FeReO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17159 AlV2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780486 La2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193056 Nd5Te7MoCl3O23 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774638 MgTeMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177650 Li7Ho3(MoO4)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561894 NiH12SO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1277255 LiVWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-5828 MoPNO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1573955 Li9Co7O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209999 Na2Hf(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1203598 Li3Co(NiO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-9754 YCo3Se2ClO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210945 La2MnCrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228462 LiY(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1037390 VO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198777 BaFe2(P2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224232 Li5V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558638 Co2H2CO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227607 CsVSO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754513 Li5Mn6(BO3)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756328 BaFe2S2O Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759611 Li5Mn2Fe3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780524 MgMnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1076627 LiCoPO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-28640 Cs6Fe2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22754 U2V2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758665 V2Pb3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-625407 Fe(GeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221075 Fe2C9O7F4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-762830 Fe4As3O23 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760393 PrSbMo2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765395 Er2Mo4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-763482 Li2FeSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1281428 Sr3LaTa2(FeO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212006 Ba2AlV3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-1294 K5In(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-704114 FeCO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211000 Fe13O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201209 Co3AgP3(HO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761676 Li3Nb(CoO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756775 V2Se3O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-735483 CaLaMn2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753154 LiAlFeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759479 Sr2Fe23O38 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22006 Li2Ni3SbO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-771037 VAsO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561398 VO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776659 Rb2CoAgF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1320611 Ca2MnNiO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-754069 La5Sm3Co7CuO24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756212 LiV2OF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220301 MnF2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757835 NaFe(SeO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224474 Li2VF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780869 Li4Fe(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211709 MoH4O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755584 BaCa(NiO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-14383 LiFe2(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1276479 CoH15N6(ClO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1638682 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752600 Mn3NbO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198270 Na2LiMnPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1661813 Li2CoSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1224007 Li2NiH8(CO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771843 Li3V3P8O29 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-779308 KNa7V8O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1237534 Y2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208672 FePH2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-777414 RbCr(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756356 Li3Cr(BO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177884 Co(RhO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556361 CaV2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1272167 NaCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209684 Li4TiNi3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-703684 TlVSeO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752649 Mo2H9C2NO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760189 NaMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758951 MgTi2MnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-746681 Li4VCr3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755571 LiFePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1207898 CoH8Se2(ClO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18993 Li3Mn2V3O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-3621 MgFeSiO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756141 Ba3Na2Cr4F20 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-16811 LiFe3P3O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-698432 TaFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214986 DyCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174892 CsMoO2F3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193903 La2CrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867688 CoSbO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773050 Cr2H28C10N6O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770650 Na3Li6Mn5O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775736 Li2AlVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-650024 Li2TiVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753481 Li2FeF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-9175 Rb6U(Mo2O9)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1220970 NdTl(WO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1222347 NaMn4O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-6939 Li2NbCo3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1104357 Ca2CoSi2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775780 Li3CoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558021 Co2OF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-581085 Li2MnSi3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-684727 Mn3(OF)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778860 CoH14SeN5O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1177493 KMnH4Cl3O2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173107 Li9Mn12Ni3O32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752976 Li11Co12(PO4)12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19365 LaCrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177300 Ba2VP2O9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1211211 Li4AlCr3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505784 LiVF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770903 Co3B7ClO13 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1301965 InCu(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19440 Na3VP2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554705 Na2Mo2Se2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196299 Na6(NiO2)7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195443 RbTi3FeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771344 Al3CrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19082 KMn(SeO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176523 Mn3SnO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775020 Sr5Fe4CoO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772418 LiMn2(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754847 LiCo(SO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554507 Ba2TaFeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1203476 CsHo(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-581162 V(ClO2)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213174 CsDy(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223138 NaMn6Al3H42(SO19)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212300 Nd3Er(WO4)6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1179306 Li2Fe2SiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774933 VBO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
