mp-777279 U(MoO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1306801 LiCrPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-863078 Sr7Mn4O13 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-18626 Mg30MnNiO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228163 Fe6OF11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772143 V12Cu2O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31729 FeOF Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-775340 EuMoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211333 Nb15MoO40F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-647813 Na2MnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1114139 K2Mn2Zn4Si4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775324 CsY(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560573 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766793 Li2V2SiGeO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-683791 K2MgMo2(H2O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560167 LiCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772415 Li3MnFe2(BO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754411 V2Zn3O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1174866 Li2CoGeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771393 KBa2V2ClO7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1176402 LiV(TeO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774219 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228508 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867719 SmVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210545 DyVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-616515 Li2MnP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-24055 Na2MnPO5F2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1192384 VZn2IO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1225408 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758271 KVPHO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1207738 BaV2(NiO4)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1195528 LiVSiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780568 Mg30ZnCoO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195674 Nd3Er(WO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-626555 TaNb3V4O20 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756420 Bi13Mo6(AsO14)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-13706 Na2LuMoPO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100499 Li3NbV2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208762 NaCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-690544 VPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227081 Mn4O7F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175942 SrMnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-672012 LaFeAsO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18932 BeCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1640786 Li2VSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1641016 TlV(SO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174315 Zn3Fe3(AsO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216053 NaNiO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194849 LiMn(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1036443 CrWO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1099253 UMo2H2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-7962 CaV(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-1473 Na3Sc2V3O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196299 VPH5NO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22730 Ni(NF7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556748 LiVF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221864 Nb2Co4O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1224929 MnC6S2NO5F6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1181766 VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175941 Na2CoP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-28207 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753462 NaNdMnWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1203528 BaMoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776473 Li4Mn3O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176388 FeAgO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754990 Li2FeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1105306 MnZn(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1226180 Li2VGeO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177936 SrMnSbF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1104323 Sr2YCoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31518 Ni12C8O31 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-27806 LiFe2OF5 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-19760 Zn(CoO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205190 RbMnH2OF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27557 K2TeMo2(PO7)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-753796 NaEr(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1202459 LiVF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755584 RbVH6SO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759794 NaFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757179 CaMn2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214095 Ba3Mo2(NO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222672 LiFeBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214954 Li2FeP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1189247 LiFeP2HO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744188 K2MoSeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755709 V2Zn3TePb3O14 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1313379 NaFeBO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1275461 Li5Nb2Fe3O10 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1249045 LiMn(PO3)5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209248 Na3SmV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850995 Li2Ti3FeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561478 UVAgO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-540439 CsZnCoF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759598 Li5V5O12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-705061 VZnP2PbO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779348 MoPb2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177532 Li2NiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1268194 K3MnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759813 CrPtO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1147585 Li6V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201415 LiAlCoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850780 Mg2Ta2NiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1003313 CaLaMnNbO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759019 Li2Mn3FeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198060 Li2FeH4(SO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18721 Mn2P2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754491 Li2VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-5828 Tb2WO6 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-758030 Nd2MnCoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19006 CrO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-504583 MnV2(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220703 LiTiCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211857 La4Co3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208115 V2NO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25233 LiCrPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218651 MnAlO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555154 LiFeF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-686936 Li2VBPO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752850 K2Cr2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-563048 Mo9O25 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-743542 NiP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-572231 LiNbTe2WO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211552 LiNiAsO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1202181 Rb5Er(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774314 NaCoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1567250 Ca3Cr2(SiO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1260352 LiCoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222140 MnWO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211497 V2Cu2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-998159 Li3MnSiCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756340 K2Cr2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759738 VSO4F3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761029 TiCo(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-769600 VIO7 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-761224 SrV6O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1079971 CaV4(CoO7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19130 Ta2Mn2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-752844 TaVO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555784 LuTl(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849464 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1271282 LiMnBO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1213945 Li2TiCr2O6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1211349 LiNbWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758146 Li2NiO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1362795 Ca2Ta2MnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557850 LiCoSnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214677 LiMg30MnO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556507 CoTeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756305 Rb2Mo4O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196979 ZnMoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1207985 NaLiV2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175551 MnTeMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1037563 FeBiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1286090 Ta2Zn2FeO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-763497 KCa2Mg2V3O12 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-780669 Na5Li3V8O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201529 LiCoSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-622619 Li2MnF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1191043 FeOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1225211 KPr(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1306614 BaFe2P2O7F2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1275528 NaNiPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-25393 Sr2FeMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554705 LiVF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757463 Ba2TiMnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-33325 Tl2MoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556136 KMoIO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-32028 Li2VO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770588 MoO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-674490 Ho2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227067 LiY3WO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767779 Li2MnCoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31908 YCoO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753866 TmMoClO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756430 V5ZnO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770390 Li2MnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213231 Mg2TaCrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213174 V10O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766954 Li2Mn(CO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1661854 Li6MnFe3(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761154 Li3Mn2O5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-572452 LiFePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753066 NaMoAsO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1201217 Mg2CoWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218438 LiCo2OF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-762643 CsBa2Cr2F11 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1038117 La4FeSe6O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758580 Fe3Co(PO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-745166 Ca2CoSi2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757644 Cr3(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1248436 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1076014 Hg2MoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560157 Na2Cr4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-746324 VF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174165 NiMo4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764074 MnAgO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-10205 V2MoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779366 Li6Mn(FeO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-26561 Li2TiNiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744756 Na2Mn(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-6176 Li3Mn2(P2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766050 Bi14MoO24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556491 Na6Co2C4SO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196327 BaMo2(PO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17458 LiFe3O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22949 Ba2Tl2Zn2Cr3O10 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-754851 Na2TiNiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-562909 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217456 MoH12Pd(NO)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-866198 Ba2FeMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1570361 Fe3C10SeO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-37779 Li2Mn(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177781 Na4VHO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1642272 Ba2Li3Ho3(WO4)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1103922 Na2VPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-2319 LiNiBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758778 KNaV6(PbO3)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560733 Mo2P2O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753767 Na3Li3Fe2P2(CO7)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-753522 RbCrO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208512 NaSc(WO4)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-777378 DyMoClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-622602 LiPr(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-33009 Li3NbV3O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1212931 SrCaMn2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557893 KSbMoO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1305882 Li7Mn5O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228103 MgV2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771386 Ta2Zn2CrO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211715 CaNi(GeO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1174492 SmV2BiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227821 CsVSO6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-772566 Ho2(WO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770696 BaMn2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217519 Li2TiNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226601 CoAgO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756682 Li3V3P8O29 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1540855 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-585177 UV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
