mp-765498 Na3NiBSO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-31815 CaMnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774236 Na3VP2O9 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-566333 SrCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-14106 CsUV3O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1095252 Ca2VClO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-763489 V4(OF3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-25402 Li4FeO3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196228 Sr2YAlCr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554864 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755614 LiMnPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752758 Tm2MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756583 KMo4(P2O7)4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1285671 Al2NiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775336 Rb2Mo(OF2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1113539 Co(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1038365 Li2NiP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-678 Rb2LiVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-704325 Gd4Mo7O27 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1105112 Li3CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201187 Cs3Mo2BrO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-647840 MgU(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1291800 Li7Mn2(CoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761656 V2Se2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1226437 Li5Fe8(BO3)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1285351 Ba5Lu8Ni4O21 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758995 Na5Y(WO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754416 Sr2Fe2Se2OF2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774938 Ba2Ni3O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-9125 CaV2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-603241 CoO Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-559831 SrNiO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770727 DyTl(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212131 Sr3Co2(ClO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-694933 K2Mo(SO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768637 PrAg(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195697 FeC7(O2F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-546027 Mn6O7F5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1176409 Ba2Mn2As2O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1078566 NaNiBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867733 Li6Mn3CoO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20986 CaTi4(FeO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1215049 Li3Fe(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1037022 K3ScV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775185 Sm2MoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753686 LiCrCO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756790 FeH12N3(OF2)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761066 CsCrClO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1206097 K3ReMoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-32465 VAsO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755064 LiVSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770745 NaLi2NiPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218575 Li5FeO3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223502 NaNi2H3(SeO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22118 Ca6Co3Si6O5 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1264019 BaMnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196122 Cr2Ag2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222340 MnGaH4O2F5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773399 TiFeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-777063 Mn2V2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196389 Ta2CrNO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-541679 Li2VSi2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214735 Li2FeOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18726 UVH3O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-757873 MgVSiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173969 RbMo3(PO7)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756351 VFeP2(O4F)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558757 Li4Ti2V3Co3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558437 BaHo(CoO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753736 Li3VO3F2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554838 LiFe2(P2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867519 Mn11Cu7O24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556255 Mn9Zn2O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-706239 Li2MnSiCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26989 VIn(TeO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218808 Mn2PO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753149 CsNd(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211715 VCr(P2O7)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1204192 KBaV5(H2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772667 Li32Mn3Cr13O48 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-21522 VGa(TeO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744205 Mo2C4NO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210945 Fe10O11F9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556401 MgCrH22O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100936 AlFe3F15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210293 LiNb7V12O48 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-760042 Fe3O5F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779090 Li3Co2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768742 SrLaTaMnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849552 Na3MnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1182181 RbFe(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756605 LuVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764993 NbCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772552 Cs2MnV2(ClO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780331 CoPH6O6F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1289129 FeHO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177891 Li2VCr3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209632 BaMg30MnO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1182674 K2LiFeF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771129 Ni(SbO2)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1199112 LiMnPO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1220757 Na5LiNi2P2(CO7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-865024 MnP2H2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1101539 Tl(MoO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211565 Rb2Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779064 Li2Mn(PO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761023 MnF2 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-18727 Ag6Mo10O33 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1199240 Li4Cr5FeO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764273 LiFe2P2HO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1104448 Al2CrO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-752604 Rb2CoH12(SO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780295 La5Re3NiO16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1203956 Li2Mn2NiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758209 Fe6O7F5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213697 CsFe2F6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756005 Zn4Co5(TeO6)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773604 La2NiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192859 Eu2NiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1251404 Li3SiNiO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198581 LiVTeO5 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-18951 AlNiO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559869 Fe9(PO4)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18753 K4Cr(NO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1314146 CsTm(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212243 BaYFe4O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217119 LiNiBO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175864 NbVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10492 K8Li9Mn4O16 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-31760 Hg2Mo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175373 Cr(AgO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175175 MgCr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-3014 Li3MnCr2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760202 PrV2IO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754758 Li7Mn2(CoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176221 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194869 MnAlO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771650 Co5SbO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216482 YAg(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25426 FeSnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767576 Li3VO3F2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559248 Li2CoSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756211 Li2FeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173939 LiNbWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761150 NiP6(WO8)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-17901 HoVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-705356 La4ZnCu2MoO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31514 TiCoO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1177154 KNiPH2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18958 VAg(HO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775490 LiNiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1206498 Na3Co2CuH8S4O17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-572159 TbFeGe2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863393 Na5La(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218213 V2Co3Te3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-6377 BaLa2(CoO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756162 GdCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763344 CoO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1197988 MoC4IO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-762643 KMnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1275528 KMnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1079971 Na5Mn3S4(O4F)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-504262 MnPH2(CO)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1189676 Li4VCr3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1303634 Mg2V2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1646388 Sr4NbCoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1076766 La5Sm3VCr7O20 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765624 Na(FeO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754639 Li4MnCo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-22330 LiVTeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780869 Li3FePCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-996994 LiCo2OF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1111053 Mg(MoO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766044 SrLiLa3FeO8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-704467 Li2CoP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752778 LiSi2NiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758752 NaMnPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554334 BaNb4(FeO7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867556 Li2TiNiO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-560160 Ba2MgMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754295 CoP2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-23637 Ba2Tb2Mn4O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757398 Li4Fe(TeO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17759 Li4Fe3Sb5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1037038 Ba3Ho2MoO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101260 VAg2(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1012686 KLiTm2(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214859 Ba2TbV3O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849801 Li2Mn2P3(HO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1217203 BaCo4O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757232 Cr2P3O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756822 BaVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-30163 KNi(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26847 Co6O7F5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753491 Li2Fe(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1037085 Mg(NiO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19119 Te2MoO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756075 V2Bi4O11 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mvc-2456 TlMoPO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556077 SrCaMnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-616160 ZrMoWO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1322199 AlTl(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221796 Sr2NiTeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756301 Li2CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757217 Rb5NdHf(MoO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177797 Tl2FeH12(SO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198818 Sr12Zn2Co6O25 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18944 LiCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557276 Li2Fe2Co3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204008 YCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177047 Li6MnV3(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180305 VGa(CuO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223545 Pr3W(ClO2)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770349 LiNbCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-32080 Li3NbV2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753374 NaCaVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1181338 Na6TeMo6(H22O23)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-311 SrV2TeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177532 Mo3NO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1299584 Sr4V2(Se2O7)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1037188 Cs2Co(PO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178209 NaCoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557413 FeMo2H4NO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-562546 RbSc(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-607824 Zn2Cr3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1104615 LaCrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867723 LiFeBO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765646 VSO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216514 Ba2Li3Y3(WO4)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1219122 LiFeSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1275718 Li2CoGeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1205736 VO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-4438 Sr2ScNiPO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850023 KLaMoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1570812 Ag6Mo2ClO7F3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213836 Li2CuNi(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1205217 BaLa2TiCr2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-23973 Li6Mn2O5F2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
