mp-1203622 K2RbLaV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195269 Ca2VMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753362 Li2MnOF3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-12280 CrAgO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1219634 RbCr(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774680 LuVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540582 V2Pb3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218914 KBa2V2ClO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221054 Mn2CdO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756985 MoH4O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754703 La7SmMn7CuO20 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757828 Zn(CoO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26335 Mo(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556603 CsCr(SO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1207863 Mn3P4H2(PbO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-15448 NaV2P2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761322 VO Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-744674 K2Mo2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757743 La2VReO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1204194 SrMn2(SiO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1079971 Fe3(O2F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1179306 KCr(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554685 LiFe(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25280 Ba3MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757108 MnC4IO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212951 CoSbO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26685 CsRbMo3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757605 Nd4(WO5)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773501 NaVMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-30136 KLiEr2(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216504 LuMoClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212748 Mn2InC10ClO10 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-555687 Ba2VI5O17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-581396 Li4Ti3Fe2Sn3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1225937 LiFe(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-510456 Li4Ti2V3Ni3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561009 Sr3LaV3O12 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1220301 VPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200869 BaSrMn2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780532 NiH5CN(ClO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755372 Li2MnFe3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754986 Ba3TiMoO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1199857 Li6CoNi5O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19363 LiMnBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765735 Tl3VO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1225102 Ta2VO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1221303 Y2(WO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-2206 Li4Ti3(NiO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-553910 VCuBi2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-28465 Na3MoO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773099 Mg30MnZnO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1283577 Cr2O3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1195080 KY(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759102 Li2FeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214368 LiFePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744755 Ba5V3ClO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765646 Ba3LaV3O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755195 Li7Mn4CoO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-12912 LiMnVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778578 KTl2MoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776295 MoF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766050 BaTm2(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211754 Li4MnCo2O7 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-555221 Na9Fe(MoO4)6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-647813 Ni(SbO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1202852 Ba2Nd2Fe4O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1255429 K2MoS3O Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1225015 Rb2LiVO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1203349 KLiY2(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775460 Ca10V6O25 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174939 K2Mo(OF)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19479 K2FeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558221 CrPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217973 LiNiBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1301543 CsBi(MoO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1177768 FeSb2WC8Se2(O2F3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-584129 Mn(CO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-13123 Fe35SiO48 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-755158 Li2Fe(PO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744776 Fe(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752498 LiNiPO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1179451 CsK2LaV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19073 V2ZnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201992 K5Mo4O14F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555102 NaVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221374 NaNdMgWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752787 NiSn(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559975 Li6VO5F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1094113 Li2FeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194870 Na2CoO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760272 LiVF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-12299 CsNaMo3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221127 Mn2Hg(CO)10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554745 CrP2Pb5O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213766 K3Fe5F15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760789 CsVSO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176362 BaCo2(AsO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1226647 LiCr(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1191084 RbMnF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-743178 LiNiAsO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-755113 V6H2Pb4Se3O26 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1312754 CoP2PbO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-13187 LiFeBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213120 NaFe(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753322 Li2Fe3SnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-16391 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772552 Li8Ni(O2F)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1076546 Li2Mn3(BO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211701 V3Zn7H3SO19 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175376 Li2MnFe(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-704467 LiMnP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-21074 Li5NiO3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559081 Zn(CoO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23972 Mn3Co(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1219299 Li6MnV3(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214937 BaNi2(AsO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175803 MoAs2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1103413 VF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772970 MgFeP2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1175034 Li4Mn2Si3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753227 LaBMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-2968 Na2FeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-562436 PrSbMo2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1205217 BaCoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755390 MnPCO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-13110 Ba2CrMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1076485 Cu2WO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765596 Na2Th(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1291670 K2RbYV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216053 Rb2Ti(WO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770491 CrCuO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10873 CrO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212659 NaMo2(P2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558497 Fe4O3F5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-780573 DyAg(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-510629 Li2MnP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766818 BaYCo2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214954 LiMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1319908 Li6Mn(FeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753143 MnOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1264049 ScCr2Ag(H2O5)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1272688 CaV2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17901 HoFe3(BO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18968 NdMoClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-604368 KLi2FeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1076669 Li2Ni3BiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216763 LiCrBO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221069 Li4Fe(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764927 NdCu(MoO4)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1209254 MgMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210927 NaVSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198439 CoH15Br2(N3O)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209602 MoH12Pd(NO)4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-754654 NbFe3Co2(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208167 Li2MnP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-971678 LiTi2VO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-647 Fe3(OF2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779766 Li3CrBO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-541933 KMnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199327 Mg30VZnO32 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1318386 Co3Ni2Te3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-504704 CrBiO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-757128 Ba2ZnCuNi2F14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-36447 Li4MnCo2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-3765 MoPNO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776015 BaV2ZnO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1207733 CaLaFeSnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1103556 TaFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208079 K2Mn2Be3F12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19770 LiFeSbO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-505153 Ag2Mo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758339 Mg2V2(SiO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772634 Li4CoO3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775116 RbY(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25290 Y2(NiO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1182660 K2V6CdCu9O26 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1276363 K4BaV6O18 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-555287 Cr3Pb5ClO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760003 VFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-634381 MnZn2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560059 FeTe(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756186 CoBrN5O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774905 Mn3Ag2(P2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772318 Li2VFe(P2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213346 CoSnC4Cl3O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223721 LiMn3Al2(HO2)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214521 SrPr3(FeO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1202673 LiCo(CO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756409 Li6Mn9O20 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-865272 VAgO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-753824 Li2Mn3(BO3)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19090 Li2V3CoO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-863393 SrLaMn2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1578402 NiO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774775 LiNiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-697734 Cs2Mo4O13 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mvc-3948 Li3MnV(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1648759 Zr2Fe2F3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759017 LiCr(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-23595 RbTb(MoO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-3978 V(PO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761711 KMnPH2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1202459 Ca2Fe2(SiO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752995 K2FeH4(SO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194207 RbDy(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-11086 LiMnAlO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-549237 K4Na4Mo3(WO4)5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-25082 FeBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755063 Mo(CO)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177118 Sr2Mn3(AsO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753001 FeMoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771408 NiH12(ClO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756335 Ba3Sr(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196510 Ba2AlTlFe2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1193122 Ca2Mn3Si3H3O14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-6640 K5Mo8As(H3O16)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-753588 La2TiNiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
