mp-18160 Li2Mn(Si2O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200859 Li2CoGeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778107 Li2MnSiO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744439 Li5VO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757813 AlCu(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26572 MnH12N2(Cl2O)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768683 CsCoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773045 Ba2SmV3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223721 MnZnP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560924 CoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758022 Sm2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752612 Mn2TcO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-505253 Zn2Cr9O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-743571 YbCu(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208827 K2MnAuF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754331 HfTl8(MoO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760153 Li2U3V2O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19220 LiVF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770729 NaFe(WO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-561478 BaLiCoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779358 Rb3ScV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203695 CsUVO6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-543110 V3F10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775200 V2CdO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1211661 NaV(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753269 Li8Mn(O2F)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-4408 Li5Fe3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559477 Li6Mn5Fe(BO3)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26791 VH8C2NO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-715584 DyMoBrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205586 K2LiMn2O4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1177388 NaFe11O17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1305927 Li2Cr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561515 CaFeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560153 CoHRu(CO)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850194 Li21(FeO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177371 Na3NiO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18853 CaFeP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209470 V2Zn3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1304742 Ba3LaZnReWO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867719 LiV(CO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1099253 NiMoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19137 Tl2MoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1285050 K3NaCr2O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1209276 RbPr(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-769617 CrO Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1103214 LiV3(TeO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19400 LiMnP2HO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222548 La4ZnCu2MoO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780780 Ti3Ni3(TeO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850539 Li2TiFe(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777828 Ta2CrNO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753086 Li2Cr(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-762018 LiMoP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756141 Zr(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193853 Fe3(PO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222837 V2Cu3H24(OF)12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220215 LiMn(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752650 VHO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-557676 Li9Mn7O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863360 Li7Fe4(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18883 CsNaMo3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849457 Na5VO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759631 Na10Co4O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555327 Li2TiCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1292799 KTb(MoO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-755334 VZnF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1179306 Hf(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756121 VZnSiO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1191914 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-6921 K8Hf(MoO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752997 Sr2TaFeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758338 BaTb2(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755182 BaBi12Mo5O34 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1183870 VPH6C2N3O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-18721 V3Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174768 SrMo2Se2O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18245 Li2AlFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221027 CoNiO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1217056 K2TlFeF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765342 Li4Mn(BO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-705435 Ga2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17749 Mn6O7F5 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-863300 V(Bi5O8)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10492 CoTeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101395 Fe3Sb(PO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20569 Ca5Mn4O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558424 Te4Mo(OF4)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1653421 Mg3Fe4(MoO4)6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-752738 RbMg30CoO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1179251 Li2Cr2H4O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199278 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1095622 CsMoO2F3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867960 Ca2TaCrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-687090 MgCr2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217509 Li2NiCSO7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-558250 VPH5NO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227255 ThV2H4O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210634 V2Bi4O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1661938 V2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1272748 Li2CrAsCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766465 CsSm(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767572 Co2H21I7(N2O)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558509 NdMnO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-18789 MgMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765415 La2Ti3CoO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761080 FeCo(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1181006 Li2Mo4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759967 BaNiF6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1003311 Sr2FeSnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227755 CoO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1211092 Li4V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1219122 VF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777452 Mn2F5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557902 Rb2Cr3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19226 KCo(CO)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222326 Na2MnP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556997 LiMnSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753451 Li3Mn4(P2O7)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-616625 VBO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204421 ScCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19001 CrCuPPb2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1198650 YAg(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200193 Na3Mn2P2(CO7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-696630 MgVPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1215057 Na2CoCSO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765411 LiMnO2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-766382 LiV3O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-650024 VAgO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555908 KMn4O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-761122 Li4Co2C4SO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195400 DyMoO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194619 LiFe2P2HO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174927 CaPr(CoO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18843 V6F13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-636215 Na3Mn2V3O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-683501 Pr2W2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-647352 LiCoBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208766 Ta8Cr3O24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1104174 Fe(HO)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1211136 K3Ni2F7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176494 Li3VPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196979 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1111099 CsTiMnOF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-24069 RbCrO3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-705430 TlVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768606 NaCrF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-715614 Li5Mn6(BO3)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771384 PrTl(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772210 LiV2P4(HO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1574416 K4MoO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764959 Li4Mn3CoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101237 BaLa(FeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212689 Na2YPWO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-42264 LiHo(WO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1079971 K3V2O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744691 LiNiBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541614 Li2CoSn(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192384 Ti2Mn3Co3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863397 K2UCr(IO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208266 Ca10V6O25 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-645513 Ca2Ta2FeO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213307 VZnHPbO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1220014 AlVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-781611 ErTl(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1660522 Na4Th(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756212 KLiMnP3HO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18960 TiBi8W(ClO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18940 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-510575 LiFeBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778120 SrCaMn2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193887 Li2VFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1199318 K4CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754129 KCa2Mg2V3O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19247 CaLaTaCrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1302911 Li3Mn(OF)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849504 Li2FePCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193798 La2GaNiO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1210561 RbTb(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214884 Bi10(MoO8)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554482 Zn2Ag2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759157 Na3MnSiCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1287553 AlFeB2(PbO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1272625 KVPbO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753499 Li3MnCr2O6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-744181 CoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760367 LiV(OF)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780866 CoPNO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1095170 Rb3YV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752787 V3Cd5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1639368 BaMn2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211396 NbCo(PbO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-562216 NdTi3Fe(CuO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18479 Li2FeH8(SO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759237 Li9(CoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752916 Na3LaV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19276 KVH4O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757784 V2O3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780499 KNiAsO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1192126 Fe3H9S2O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18794 Co2HgO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212659 K2Mo3O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177936 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214972 MoH4C(NO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760974 MgTi2NiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1237012 Li2Mo4O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-30205 VOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198748 Ba3TiMoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755509 Li3V4(OF3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1219165 KNd(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777683 Li2MnFe(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504863 VO2F Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1224465 LiVGeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-573180 K2Co3H6S3O16 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-556249 Li2Ti3NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26563 LiNiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1282570 Li2VSi4O11 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-559938 Na5LiCo2P2(CO7)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-780086 CaVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-39160 Li3Ni3(PO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556459 V2ZnO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752664 Rb2NaMnF6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1175161 CaMn(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1309732 NaMnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757930 Mn6O5F7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756333 Li3MnPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-769557 Ca2SmYMn4O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765080 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867740 Hf(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1036764 RbLiCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223325 Li4Ti3Mn2(Fe2O9)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850971 VF5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-2157 Ca4Al6CrO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554226 LiVPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759969 K2NaMo(OF)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1114338 UCr4H48C14(N15O11)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-643427 Li2Cr2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221226 VBO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554465 Li2VFeP2(HO5)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1227420 MgV2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1187759 Li2VO3F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25296 K10Co4O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850207 NaMn(GeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176482 Li12CrNi3P4(CO7)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771910 MnC5(O2F)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227058 Mn(AsO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-674349 Ca8Mn6Al2O23 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756688 Rb2Mo(SO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1276026 Li2MnP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20312 Ba4LaTi4CrO15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850257 Li6MnV3(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764057 CsVTeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752598 Li3MnPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1079901 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1249267 CaCr(GeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1224963 BaLu2NiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753283 MgV5H20NO22 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-22949 AlRe(WO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-755064 FePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1279869 YCrO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-704545 Li2TiFe3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753053 Rb2V(OF2)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-29461 Mn3FeSn2(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199670 Fe4O7F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19046 LiY(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1288876 KCr(SO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-25458 LaNiO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-779092 CsTb(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211767 Ni3O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554451 Na2Cr4O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208038 Li6MnV3(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560414 KMnF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
