mp-753049 Co2(PO3)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175655 CrHgO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222767 CaThV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177183 ZrMoWO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1205336 Li8Ni(O2F)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772588 Cs2FeH12(SO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744736 Sr2La(FeO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771236 Li4MnV3O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-510467 Na2NiO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-573229 NaCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200859 Li4FeOF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560582 Ho2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775736 Ge3(MoO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770641 V2Bi4O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1206631 CaLaMnMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17542 Li4Mo5O17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210465 Mg2Ta2VO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19175 BaCr2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753634 Tl3Cr4AgO14 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755176 CoNi(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196049 LiV3(P3O10)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-8386 Li2VBPO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753078 Rb3YV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-705680 Rb2SrV4O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754744 Li3MnCoO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778675 La2MgMnO6 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-504566 KSbMoO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1639387 LiFeO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849432 Mn6O7F5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1204131 Sr6Ca2Fe3Co5O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1205312 Er2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19134 K3Mo2HCO13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753283 Na2LiV5H18O23 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756993 CoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775274 LaMg(FeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1147749 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26351 Na2SrVP2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-11037 NaLi2V3O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1303642 Mn3(OF2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1290806 Li6MnV3(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758582 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1283877 Cs2Cr4O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-943492 FePtO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213937 Li2Fe3SnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777878 Mn5VO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209155 Nb2NiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194849 Nb2NiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753509 LiNiO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555981 Li4Fe3CoO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24250 KRb2Mo(OF)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1195300 CsNbWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31760 YCu(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761337 Li2Co2(SO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1291800 Ba2V2CuClO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755561 CaV2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1244626 Ba2YNi3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760338 Ba2Ti4Cr2O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176044 Li4FeO3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764642 SmTl(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200748 VOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560652 LiVCO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1171109 FeH20S2(NO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757329 Al5(NiO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768381 Li32Mn3Cr13O48 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193940 VH12C6NO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101433 NiH5CN(ClO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18753 Co5Te4(ClO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554569 Li3V(H6O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867719 Li2VOF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760264 Na3CrPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761051 NaCo(CO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556077 Li7Mn4CoO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756694 TbV(SeO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-772101 CaCr(GeO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768729 KNi2H3(SeO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213966 Na2LiMnPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1075956 BaMoI4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-704545 Mn3(OF2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-600152 BaV2ZnO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505170 Ni(BO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-573180 Li6V3P8O29 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-19085 Hf(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752814 Li2Mn2(CO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-643564 Ga2FeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-14163 Ba2Tl2Ni3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1080730 KEr(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1195590 Na3V5H26O27 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176218 LiFeSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557449 CoMoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-21437 TaFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24008 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777593 NaEr(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-7992 Li4Ti2Mn3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-32395 LiV(PO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1227861 Sr2Mn2SeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770752 CrPbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-762018 KFe(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754042 Ca3V2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753715 Mg(CoO2)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-29230 Hg2Mo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554807 V2Pb2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757018 LiVF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1215738 CsV2O5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-743617 LiVGaO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753713 CoSn2H12(OF)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24068 Na2VS2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559604 BaMgV2ZnO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218594 Ni3H12C10NO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540566 KSm(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756413 Ca2Mo2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754914 Li3MnO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10539 Ba2MnGe2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768070 Mn2SnC10(ClO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211810 Zn2NiSbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210843 Fe(SbO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-572159 Mg2Ta2CoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559316 MnVAgO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765973 NbCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1276118 Na14Co2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554340 Na2(CoO2)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1175886 SrCr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758804 La7SmMn7FeO24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1660336 Y6WO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10078 Sr8MnFe7O24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753396 Tl4V2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1271345 V2Bi4O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1276717 FeH12C6N(ClO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221471 CrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555338 AlCr3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227420 Li2TiV3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1238483 Yb2Fe3O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556889 LiVP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753430 MnVCuO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176400 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201917 VOF2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212132 K3VO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754758 CoBiO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-757181 Rb3TbV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755614 VAsO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554705 Li3Mn4(BO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-746670 Ni3O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774042 Li4CoO3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-690544 CaFe3O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1217943 MnH2Cl2O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780676 LiCoOF2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772665 Li2MnVP2(HO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19440 Li2TiMn2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-510755 SrMn(GeO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-753110 LiMnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226344 NaFe(SiO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1177906 K3CrC3N3O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-542671 LiVSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213147 Li2Fe(CoO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775171 Li5Ti2Mn3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753929 MgZn(FeO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-22330 Li2MnSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216930 Li2V3CoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766585 Li3Mn2(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101551 LiSb(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-699398 Ba2CoSi2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1639328 NiSnO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18909 SrNi2P2(H2O5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221941 VF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25393 Li4Fe3(OF3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753993 ScCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20659 TaMnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-12752 CrH12(CF)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1193798 Ba3Mo2(IO9)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1195334 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228731 Ti5Fe11O24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759108 Ba2NbCoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1318458 VCoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100520 KVSO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10632 VCuSe2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1282494 Ba2Mn2Se2OF2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765203 MnP2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561324 VPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541933 Na3Li3Fe2P2(CO7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-586 Ca2MnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1111147 Zr6Co2O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753362 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-773418 Sr2YCr2GaO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758775 VAg3O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19112 Cr2(SiO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754589 CoSbO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22076 Li24Mn7Cr5O36 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18251 Li3Mn4O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1239384 Na2LiVF6 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-1275562 VPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753155 LiMnAlO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780466 Li2V(CO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755022 Li2Cr3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-505189 Li2VO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777395 Li2TiV2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193622 Li2V3WO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-866198 Mg3FeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218906 LiTiMnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217766 TbSbMo2O9 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-754670 NaCoSO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770912 Co(SbO9)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772550 VP2Cl7O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766005 Li4MnCo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222197 Sr2V3O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19107 CrO Prediction: 1 Actual: tensor([1], device='cuda:0') 
