mp-753521 BaVSi2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211051 PrVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558765 LiMnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559004 Li4Si2NiO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777408 Li2Mn3CrO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759415 V2Cd(PO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193056 Li2Co(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-642578 Mn6OF11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757110 K2Mo(I2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-541993 RbNbWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101189 V2Cd6Se5O21 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26384 Li3CrSiO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213697 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216344 NaMoAsO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772597 CrPbO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-777776 FeMoClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776015 Na2Cr4O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760210 Cs2TlFeF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213184 Co(BrO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-572375 LiCrP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176312 LiFeBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557209 NiH20Se2(NO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1304584 Co5P4(HO2)10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744188 Na3MnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776295 V2(OF)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775949 MgV2PbO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-505457 Li2V3TeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18944 Cr2PO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759813 Ba3In2MoO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228604 Li7Mn10O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1076526 Li3Fe2CuO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744843 Li3Mn2(CoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757179 LiMnV(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1111145 Na2FeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1181907 Eu3Fe5O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193901 MgCo(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228142 Li3VF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560276 Mn2SnC10BrO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560496 CaCoSi2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201281 Ba3NdV3O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19483 LiMnNbO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228051 ZnFeP2O7 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-25898 Na3Mo(OF)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-625547 Ba2ScV3O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-24055 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-16799 Ca2MnWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1639205 BaEu2NiO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211052 Li7Mn2(CoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753922 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752736 MnTeMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754652 Li2MnOF3 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1212487 Li3V3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1038173 Al2FeP2(HO)18 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1238442 PrAg(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1182074 Co2C2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764607 LiV2O5F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176833 Li3Mn2Fe(BO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19047 Li4MnO2F3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-997159 Li2Cr(H2O3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1104572 Ba2MnWO6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1173107 LiMnPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218300 Sc2(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18761 MnH6(OF)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766140 Bi2(MoO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-556533 Li4FeOF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1273212 Li3Nb(FeO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849605 SrNi3(P2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-532028 Li2MnOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-743645 Li2CoP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760194 Rb2Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765624 CoH24C4S4N8(ClO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20090 Ba2CoMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755896 SrCa7Fe2(CoO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1207659 Li3Fe2(SiO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10462 TiMn3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752582 Na2NiO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223721 SrNdCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744755 LiVPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772403 LiMn2OF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-773479 Ba2V3BiO11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196122 Li2ZrFe(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194023 Li6V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222017 Ba3Sr(CoO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1643447 Li6Mn3CoO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1037532 Li2Fe2Si2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100802 Mn2As2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228358 ZnCr2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222066 MgMn2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1101240 Ba3Co2(NO2)12 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1306353 Ag2Mo3SeO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760211 NdCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1579553 CoCu3(PO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771887 LiCoAsO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756332 Li2NiBO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1272749 MnO Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-13330 LiFe2F5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180723 SrNdMn2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213277 Li3Mn(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1037199 Na5Fe3Ag2(As2O7)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19231 KMnIO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176523 Li6V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774155 Li4Mn3CoO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776053 RbCr4BiO14 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209368 AlV2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757068 Cr2(Bi2O5)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-698669 K2LiFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1296272 Li4NbCr(WO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209136 Li2VOF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19148 NiH2SeO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193654 VZn2SbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196979 Li4TiCo3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771047 Li4V5CuClO15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-27031 VH8C2N2O6F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-625246 Co2P2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177735 Rb4V2S4O19 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101344 NiRu5C17O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204734 Na3MnSiCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761051 Li4CrTe(WO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-546843 Li2VF7 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-705033 Li3V5O14 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1247669 LiCoBO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1177884 Co(HO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1037549 Li2CrO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194158 EuFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754728 LiVO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1303453 Ag3Mo3AsO13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-677260 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208827 CoH2SeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-652092 Mg5V2(MoO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1286763 Sm2Hf2(MoO4)7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-546798 Li2NiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19323 Sm2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27597 NaV(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554838 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227893 Ca2VWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758277 MgVP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-7981 LiMn3O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556993 Li2Mn5(Si2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-684724 LiFeF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214404 K2MoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174421 Mg30TiCrO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22802 Li2MnCoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-651301 CrWO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765596 KDy(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744418 Li2NiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863398 Li2TiFeO4 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-27510 NaMg2V3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1198646 LiCoAsO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228762 NaVPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-3999 K2BiMoPO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754411 V2SiO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1215728 Sr2CaMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753584 Mo(NO2)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-758261 Ca3MnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210051 K2MoSeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174923 Li2Mn3(BO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776177 LiNiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779348 Li4Fe2Cu3Sb3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756449 CrHgO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757311 V2O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18301 Li2Cr3FeO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770946 Mg3V2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-715262 Rb2Mo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754904 Na3V2PO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19127 Fe7(PO5)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221069 CsTm(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195516 LiVO2 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-770562 VPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760272 Ho5Cu(WO4)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772975 Ca4Mn4O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195231 ScV(TeO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755934 Li5FeO3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1076611 Li2V18O39 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192676 SrMnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-705541 Li2Cr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213856 LiFeBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1203870 Tb2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18869 V4O7F5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1214680 Li2CoSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554152 LiNbNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757175 YCr4(CuO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17426 Fe2C4Cl2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203956 CsMoIO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1202528 VPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22113 Bi10(MoO8)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753396 Rb2Mg2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174850 Sr4Al6CrO16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195392 MnCO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558005 NaCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1202658 FeHO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
