mp-1218736 YCu3(WO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204069 Bi2MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10462 LiFe2OF5 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-706239 KVHO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100976 CoP3H16N4O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19313 V3AgO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1179306 V3Sb2(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768376 Li32Mn13Cr3O48 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212303 LiCrP2O7 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mvc-9159 TbVO3 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1297951 KNd(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1179789 PrV2IO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1105138 FeSClO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10010 LiV2CrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1096875 Li2Ti3MnO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768711 Li3Mn2CrO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1174792 RbDy(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1205190 K3VC5N5O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557801 LiNiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-735483 Ba4Mn3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1186878 Li9Mn21O40 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773636 MnSn3(PO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223721 SrZnNi(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558850 LiV4CuO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-947 Li5CoOF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-510607 LiNbTe2WO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26364 Zr(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849405 PrMoO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176848 SrCaTiMnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771190 LiFeSnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1275839 Li3MnAl2O6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-757712 CsVWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218174 KPr(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18994 CrH18C5(NO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19363 Li4CoO3F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1076170 V12CoH24C8(NO16)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227657 Th2Te3MoO13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202541 K3Mn3H2C12O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19453 Li4Cr3NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194804 LiCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542860 Na4FeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777397 NaFeO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755970 Na3PrV2O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1216403 Li4Fe3Sb(PO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556984 RbVOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1272688 K2Cr2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540438 LuCu(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192129 Pr5Te7MoCl3O23 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1104228 Mo2H26C8N2O5F6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-23044 VAgSeO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-12822 Sm2Mo4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1232310 LiVOF4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-753254 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218325 Sr2MgMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758123 TiFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1191333 LiVWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-540391 MnSn(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210927 Ba2NiWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766703 Li3CoPCO7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-504697 LiVF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1037040 Rb2MnH2OF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209982 MgCr(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1187759 LiNiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18929 Li9V5(SiO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19120 CrPbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1302039 Fe4OF7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17824 Zn2TeMoO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753929 VPtO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-767447 Y6WO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1180452 FePtO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-649195 SrCeVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-14941 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560630 Sr2NbFeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-762643 LiV(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194158 Ta2CrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217765 K4Mn3P6(HO3)8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-779228 Li4V3FeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556289 TiMnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756665 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850194 BaMnAlCuO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1287027 K5Yb(MoO4)4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1226454 NaFe(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18781 Cs2MnV2(ClO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228249 MgCrAs2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227936 CoB4O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775927 Li2Mn3F8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849998 Co(HO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1271310 SrMnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765149 Co2C5SO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555354 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-996994 SrYCoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1190911 Y2Mn3(SiO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772967 Li2Mn3SbO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-23082 Li2Cr2P2O7F2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101492 MgCrF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1215706 LiVP2HO7 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1275562 K4MoC5N6O Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760788 K5HfIn(MoO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26140 K2RbTbV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753686 CrBi8O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-763983 Sm2Hf2(MoO4)7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228530 Na5Tb(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759350 Li4TiCo5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759343 Rb2Zn2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1321088 Sr2Mn2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192505 Li2Cr(PO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222526 NiBiPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214473 TiFe(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176977 Rb2TlCoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178458 Li2FeSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1641018 Ba2CrMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19087 LiCoP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1275491 UV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1215835 NiWO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1178466 LiFe2(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19189 MgCr(GeO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776431 VMoO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1575669 CrAuO2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-8284 ErVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213184 V2CuH6(NO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1287553 Li6Mn3CoO10 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1275489 BaVSi2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-5644 TmMoBrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561754 KGaCoC4Cl3O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755665 CsMoP2HO9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-560760 Li3VO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1012835 LiFePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26771 CrPbO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1276430 Ga2CoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195392 Li12Mn2Fe3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-649091 MnBiAsO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759491 Li4MnOF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558367 ErCoH8C6(N3O2)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-768236 SrCa7Ti2Mn6O20 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25446 TiAl(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752847 Co(Bi5O8)5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18880 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101210 Mo(HO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752810 Sc2W5(SeO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755842 CoSb2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755390 VH5Se2NO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759176 Li6Mn(FeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556640 LiLa4CoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19225 Li4Co(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757823 Rb2Mo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208910 TmMoO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26197 ScTl(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173606 V2GePb5O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208115 Cr2SiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1037199 Cs2Ti(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755584 CoB4O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228308 LiCoSbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-7987 Ba2YbV3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211497 TbV(SeO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20589 Hg2Mo2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775753 Mg2Fe2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-863361 Cs2MoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196429 LiCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-698316 YbTl(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-16994 ScMo3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1105354 Li10Mn3Cr3(NiO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-504495 Li4Al3Cr3(SbO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-650392 BaTm2(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192188 NaVO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27168 Li5Ti2Mn3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771035 V3O5F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1226157 Na5Y(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177950 CeMo12(NO27)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-698100 FeWClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754159 Ta9VO25 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-698305 MnCuO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-3279 Sc2(WO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777476 CrFe2(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18990 Ba2Mn(BO2)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1013577 MgFeSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23853 Li4V2Cr3Sn3O16 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1221598 SrSmMn2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780148 Li5V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775331 Sr2YAlCr2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-583506 FeH8(ClO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200758 LiCr2(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
