mp-653922 CrNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1643875 Rb4Mo5(PO11)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201255 LiVP2HO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1190411 CoH20IN6(ClO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214024 Rb4Mo5H4Se2O23 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-505361 Ti4Fe2O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1286090 Co3(PO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-26717 SrMnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1202611 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-27479 CoAgO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775759 Tb2(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754923 Rb5Er(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24827 KVBP2HO9 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1194929 Li2Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1078227 Ca7MgFeCo7O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19054 LaFe4(CuO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561875 Li2Ti3VO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1272954 Li9Co7O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1203479 Ba2ZnMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755160 Mn2FeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209913 La2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850971 CaCeV2O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1176030 Y2CoTe2(SO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213682 LiV3(TeO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1247664 Li2FeSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195170 Ni(SO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757107 MoH18C5(NO)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753595 VBO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758917 MoH4O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1179251 VBiPbO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-16800 CoHCO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-23064 RbMoIO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-12205 LiAlCoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196559 SiNiH12(OF)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213321 RbFeSe2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1190639 SrFe3Bi2O9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-758521 Mn2NbC8(NO)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775205 Li2NiBO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772093 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-600169 Li2FeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-581396 MnFeCo(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175058 LiFeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220703 BeCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542789 Ca4TiMn3O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756353 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10460 Li2CuNi(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217362 Ba2CoAg2(SeO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-647840 BaLa2TiCr2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1302478 Li2CoP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-6404 BaU2V2O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766025 LaMgTiCrO6 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1206497 LiNbWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753797 Nd2Mo(SeO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765973 Pr5Te7WCl3O23 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1178894 DyMoO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218711 CaCr2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218911 Sr2CaMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101667 HoAg(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-683666 LiMnSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176729 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556966 MnSeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776036 FeSeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22024 Li4Mn2Cu3Sn3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556401 NaFe9H18(S3O22)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779164 LaV2BiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768637 NbV3Cr2(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1362836 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221887 ZnCr2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744187 DyWClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1316892 MnSeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774938 Li6Mn3Cr(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-16391 Li3Mn2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755803 LiV2(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760254 RbMg30CrO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755571 Ba5V3HO13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224936 Mn(ReO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765375 V3FeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201718 Li2FePCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218756 Li4FeO3F Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-18949 MnHO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558671 Na6Mo11O36 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754025 BaLa(FeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195528 FeC7(O2F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101601 UV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-608469 LiVP2HO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18527 Li2CrP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1154479 CoAgO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213354 La8Mn7O24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753713 KVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761145 Na4NiH38(W3O20)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-698262 Ba3MnF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772727 SrNiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222197 Li2MnO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759934 Ba4Fe4O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758092 Li2Co2Si2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-706875 Sr2TiMnO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1645354 BaVPO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755458 MoWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757163 FeCuO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744190 LiV6O7F5 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-753929 KSc(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849499 CoH15N6(ClO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759914 V2Bi4O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755518 RbPr(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177218 CsY(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-605771 MnSO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177532 CaCo4O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1207938 K2ZnCr2(H2O5)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-559456 V6O5F19 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221906 Li3Fe8(BO3)8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1214121 Li3V5O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1204976 Ca3SmMn4O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195119 LiMnF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-172 CoPH21N5O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778120 LiV2(SiO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-849591 K2Mo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1103557 Na2DyMoPO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1226157 Li6NbCr3(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757208 K2Th3Mg(MoO4)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218391 NaNi4(P2O11)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212348 VOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17450 LiFe(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1191380 Li4MnO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211057 LaFeBiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774946 MnAgO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1279252 NbCoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1180439 LiVPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22005 Li2TiMn2NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174154 CrO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26237 TlVSeO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220913 UVAgO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1239063 CrBiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554326 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755042 LiNiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25468 Mo3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25247 LiVPO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-556640 Mo5(O4F)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780148 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744674 CoH4(CO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754585 VGa(CuO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-28338 NaCa9Co(PO4)7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226235 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758476 PrCrTeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760391 Ta2CrNO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755818 Na3TbV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759788 Li3Cr(CoO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210103 Na3NiF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-623924 CsMn2V2ClO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744600 Ni(SbO9)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-746670 Zn(NiO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226344 Sr2Fe2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755412 MnH10S2(NO2)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-605091 LiY(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31372 ScVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-7242 Li2TiFeO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-867610 Li6Mn15O32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558057 Li3MnP2HO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196057 InMoHSeO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177537 Cr2H28C10N6O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-39160 VP2NCl10O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780739 NaMoPO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19401 CaLaNbCoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1039661 BaMn2Si2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1037923 Li4Fe3Co3(SnO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1181665 Li5MnO3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554482 LiFe2P2HO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1068212 Ba2TiMnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1191216 Fe2OF3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-14106 Dy2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195912 CoH16C4(NO)7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-636746 Na2LiFePCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761158 Ca2Fe2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776434 Li8FeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753110 Li3CrPCO7 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-753533 Li2TiVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753866 MoO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1201039 TaCrO4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-541578 Na3V3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-9006 Li3VP2HO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1215766 TlMo2Cl7O2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541493 LiVF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863361 Li4Co3Sb5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17759 CoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19107 Ca2YFe4SbO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757606 Cs2V5H5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213334 Fe8H10O17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213571 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752622 Ba2V2FeHO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540188 Fe3Cu2Te(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771091 Ti(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1274989 CaLaTaCrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752901 FeH2C4N4Cl6O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554548 CsMnCl3O2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555335 V2H38S4(N2O9)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773002 Sr2MnGe2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1639659 LaTi4Mn3O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1078473 Cr2H8N2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1244605 Y2W2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753361 Rb2Mo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555354 Na5MnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1226266 KCo(PO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760035 K3V3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173961 CaCu2(WO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-776554 CaV2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211174 RbFe(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1259388 VH8C2NO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756802 LiNd(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-3306 Li2Mn7F18 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-558306 CrHg3(SO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175106 V2Fe3P6WO24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-24828 LiMnH6O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1179451 Cr(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-504387 Cs2Te(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-21145 CaFe2(SiO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196456 YCu(WO4)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1113962 RbBi(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203523 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223021 CsVOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19432 Fe4OF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211073 Ho2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1105091 VPH5NO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768579 Fe6O7F5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209549 Ca2MnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211851 CsTiNiOF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756269 KHo(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-694933 NaCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1567267 VPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757792 CsLiMoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
