mp-745180 CoH18Br2N6ClO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1288517 CsY(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1180989 MgMn4O6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-540767 Na9Sc(MoO4)6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1661337 Ni(XeF8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213413 Na2Li8U11(WO22)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1192451 Mn3Fe3(SbO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175099 LiFe2(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779056 CrPbO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-531911 Na3CoSiCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25445 Sr3Fe2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850875 KLiMoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753647 VHO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775322 Li7VGeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214937 CoSiC4Cl3O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755735 Li2MnFe(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867729 Tm2Mo4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771052 Li2Cr3CuO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1275120 YFeGe2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556748 Mo(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1104015 Li5V(CO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1192562 YCrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758472 MnCSO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1318790 Fe(ClO2)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-643086 Na2CoP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756217 Na2U(MoO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1264011 FeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559316 ZnFe4NiO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-773453 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760210 MnNF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-25394 VH8C2N2O6F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755092 Ca5V3ClO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561599 CsCrClO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757733 LiVF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193420 ZnCo3O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26088 Na3MoH6(CO2)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-563010 Nd3W(ClO2)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212049 CrInO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770947 La14Mn15O48 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705356 NdCu(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1078949 BaYCuNiO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1308812 Na2ErPWO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-33009 VH6(OF)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1180190 Li4V2SiGeO10 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-560582 Ni5Ge(BO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753480 CaVP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768480 Sr2NiSe2(ClO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198790 Cs5Bi(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1566038 LiVCO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1237189 VMoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-696441 Mg2Ta2Mn2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1097907 K3V3(AsO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218756 Ba3Sr5Co2(CuO4)6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-753281 Li2MnO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540842 Li7Mn7(P4O17)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778667 FeBiO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1096877 Be3Cr2(SiO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1105034 Na4VHO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758754 Li6V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754053 CaLa2FeO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-755096 V3Co3(TeO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757778 Li7Mn2(CoO4)3 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-555327 Rb2Mo(SO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752824 Co(RhO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27055 NaGa(WO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-20921 Na3PrV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766076 Ba2Li3Ho3(WO4)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755694 Li6Mn3CoO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211622 Li9Mn7O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755851 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756824 Sr2VClO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-27680 RbTm(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-704688 Li4VFe3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-605486 Li(CoO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200210 Na2NiP2(HO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173923 Na3NiAsCO7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1213306 K2VO2F3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1220757 Li2MnO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757415 Sr2MnNbO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1207659 V3(WO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1181908 K4Ni(NO2)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208459 FeP4O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-688 Mn3FeNi2(PO4)6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1174016 Ca(CoO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758543 MnRe(CO)10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754330 LiNd(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557669 Li2CoAgF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19310 V2OF8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177398 Li5VO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221585 NaFeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558306 Li4Mn3SbO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758560 Na3CoF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1103413 SrLaMnSbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776094 K3NaCr2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556779 LiMg4Al(MoO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19046 LiFeSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1206497 VH14C4NO2F3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-704459 Li6NiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19350 Ba2V2CuClO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-771035 CsIn(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211497 VO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753533 Na5NiHO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214549 Rb3FeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-2381 LiMn7O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174773 Na4Zr(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1319687 TlIn(MoO4)2 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-756125 LiMnPO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-510638 Na3VS3O Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1204598 K2Mo2H8O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555687 Hf3NiF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1182595 Li6CoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-891955 Mg(FeO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199400 KTbCr2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-735506 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559012 MnV3Cu2(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-720713 Na2MnFeF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754958 LiFeSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1097820 YTl(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-863399 Li2VPO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771954 EuVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557020 MgCu2(MoO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1199268 MoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19031 NaNd(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205217 MnNi(BiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757035 LiMnAlO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-583853 TaNb3V4O20 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1276026 K7Mo12H31Pt2O59 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771595 Fe7O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-17362 Mn2ZnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766011 MnCr3Te2(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19422 CsVTeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756582 Li2Si4NiO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1226781 Na2CrCSO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754746 Nb2WO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560575 LiVF6 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-23082 VHO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224533 MnAl2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1311370 MoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209389 ZnFeF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766406 CaLa3(CoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558517 Al2FeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759046 VF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-27013 VNiH14(O2F)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757128 V2Cd3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226872 Ca2VWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18901 Ta2CrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19092 KTm(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18944 MgCr3(SO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765385 Li2Mn3O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766220 MnH2(SO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754438 MnC5BrO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1571054 TiV3Cu2(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-704306 Li4NbCr5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200387 ScV(SeO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778178 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31517 Sr2CoMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849362 CaMg14FeO16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1292614 LiVF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770862 Li4FeOF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100588 Li2Si4NiO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-541512 CsCo(CO)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772518 CrH8(NO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757163 Li2V2OF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505153 Cs4FeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770967 Li2VFeP2(HO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202859 Li2MnSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1105305 MnSO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100677 Dy2Mo3H2Se2O17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218386 Li5Mn2Fe3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19196 Bi14MoO24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180159 K2Mn(SeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766215 Dy3BWO9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-756514 LiVCrP2(HO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10556 Li2NiBO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-573229 Li2MnSn(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-40066 ErMoO4F Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1201834 Na3GdV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-566257 Na2CoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211656 CsPr(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192576 Cs2MnV2(ClO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753249 RbNbWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212769 VPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223546 Ca4Al6CrO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1076217 U7V5Ag3O35 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556324 LiMn2(PO3)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19175 Na2Cr4O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1120752 LiMg14MnO16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1203434 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176037 BaLa5TiCr5O18 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755189 Li2CoBO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1188566 TiMnH12(OF)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1273808 Cs2CoAgF6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-771658 CsCoH18N6(ClO2)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19346 LiVTe2WO12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-759983 VOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26201 NbFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22137 Na2LiMnPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26638 La2CoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1202861 LiVSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-28207 Li3V2CrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763989 LiFePCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193468 Ho2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-8345 RbCrO3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849295 TlV4O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208045 Y6WO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-7747 BaLu2NiO5 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-510456 KSm(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754264 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555102 Ni2C5(Cl2O)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-622258 Li2MnGeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757858 CoSnC4Cl3O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10909 Li4Ni8O9F7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753977 LiMn2OF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1103556 Ni2(PO3)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557365 CoBr2(N3O)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176642 YMoO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559600 Sr2ZnMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228802 Co4Si(CO)14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-553895 Rb2MoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-29142 LiFeSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1190466 CoH17S2N5ClO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-554839 Li2VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1004038 MnZn2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765509 Sr2V4Te2H2O17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-486 MnCdO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1099233 Li2NbCo3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753206 Na5Lu(MoO4)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1247664 LiNiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-616566 LiCoAsO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759039 NaMn2Mo2H3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-698622 Li4V3CrO8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-766942 Li4CoOF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760242 LiVSiCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759469 CoBi(CO)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770681 LiTiCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17159 YCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174922 Li3Fe2(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561342 Li5Mn2CrO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1661938 BaFe2S2O Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221323 MnP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759631 Li2NiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764642 Li2(NiO2)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776732 Ce(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101189 MnTl2H2OF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-510459 NaMg3In(MoO4)5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1250948 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768787 LiCrSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560976 RbEr(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200418 BaV2ZnO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216962 Cu3Mo2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20299 Cs2Cr4Cd(HO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18518 Li2FeSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558700 Sr2AlFeCu2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761051 V2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753687 KRb2CrF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774401 Nb2MoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19042 FeH4(CO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-5816 Mn2SnC10BrO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1283030 CoTeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-695805 LiFePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
