mp-754904 NdMnPO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780325 Li4FeO3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754793 VH12N3O5F2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-756857 Mn2GeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173242 K3CrC5N6O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-15202 ZnNi4O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1207940 NdVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776295 V6H2Pb4Se3O26 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1290806 Na2MoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26853 LiMnCO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-556893 Li3CrSiO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556535 MnAsO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752934 TmAg(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-616555 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-616444 KEr(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757803 Ga2CoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-694896 Li2NiCSO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213334 NaLiV2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-605091 Ta9VO25 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177211 ZnCr3P3O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176658 Mg2TaCrO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-759491 Tl2NiH12(SeO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774309 Li4Mn(PO3)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755037 Bi6Mo2O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755803 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-760194 Li3Fe8(BO3)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101185 Bi2MoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214582 Mn3(CuO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18890 Rb2CuNiF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24025 K2NaFeO3 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-760196 Sr3Fe2Ag2S2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560157 Li4Ti2V3(Fe2O9)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26715 LiFeOF2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1200387 ZnCr2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1362988 Li7Mn2(CoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1037390 LiMnPH2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-5772 K2RbHoV2O8 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-562548 MgV(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764019 Li2FeP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772620 TlV3Cd4O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209046 Li3Fe4(BO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-2275 Co(Bi5O8)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175643 V2ZnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228103 LiVF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771701 Na3V(BO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756841 Li4Co(OF)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19432 Na2MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757405 CsRbMo3P3O17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-690544 TiMnO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-505193 Li3V2FeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755285 Mg3FeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213014 KNi2H3(SeO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19112 Tl2Cr3O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776481 Li2MnVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218746 Li5Co2(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1282494 Mg30TiCoO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1201707 Li2Co(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754319 Li2VOF5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-755520 Na2CoGeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221409 La2Te3MoO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772566 CsPr(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1096945 NiH5CN(ClO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777758 Li3Cr(BO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-779070 Li4Fe(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1190839 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176916 VBiPbO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10618 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-720800 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867519 MnInO3 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-754513 Mn(IO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-562779 Li2Co4O3F8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557310 Li2MnPHO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26205 Na5Ni2P2(CO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-763051 Co3P2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555327 Li3Fe8(BO3)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759813 NdSbMo2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774778 Al4Fe2Si5O18 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195119 Li4Nb3Ni3(TeO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1220215 Li32Ti13Cr3O48 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557902 Li2Fe3NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1215128 VCdBiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1288892 VOF3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1263657 Li3Mn2CuO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1291590 Li4Nb2Fe3Sb3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192710 Li2Mn(PO4)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-715262 Ce(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-22526 RbLu(MoO4)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1182834 Li4Cr3CoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194869 Li3Mn4SbO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764735 Li2MnOF2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1641016 Li4NbCo3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1190622 Li2U(WO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208057 CaMn4O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764424 Li2V2F7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554966 MoPCl5O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1578402 VNiH14(O2F)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1220991 Li3MnFeCo(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-7986 LiMnBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-705014 LiNbCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1232439 Cr2(SO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-743514 Mn2OF4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-763740 Li24Ti7Cr5O36 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-677318 LiMnF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754295 Mg30MnZnO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19108 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554213 NaLi2MnPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209026 Li2MnO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850888 Ba2AlNi3O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209599 Li2MnCr(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755780 Li7Mn2(CoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1219299 Li2VCo3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-626701 V4O7F5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753595 Li5Mn2CrO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-12752 Li5Mn6(BO3)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756442 Sr2TaCrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101240 Li3V(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223290 CrSi(Ag3O4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1182205 KNaMo2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773188 NiSO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755564 KCoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1076319 Sc2(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198857 Na3FeAsCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198378 Sr3Ca6V7BiO28 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-849320 MnV8O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756218 TiMn(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-863361 KCr3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744458 V4(P2O7)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1232447 Pr3W(ClO2)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223694 Zn3Co2(SiO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-16994 NaVO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765311 Li4Ti2Fe3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221226 CeMn4(CuO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19466 Cs3Mo2BrO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770515 Na3SmV2O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-753791 CaMn(SiO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-642398 LiMnSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-695805 NiH20S2(NO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559477 RbTm(MoO4)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-758718 Li2V(OF)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176956 Na3MoNO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753500 SrLaTiFeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223617 Cr3H4NO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760177 Fe2(SO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174781 ZnCr(GeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216776 CoH4(CO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1224533 SrMg30FeO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770894 Li2V2SiGeO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31517 LiFeBO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772174 ErCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214581 VAg3HgO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759350 LiTiFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100902 Na5LiNi2P2(CO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19365 ErCoH8C6(N3O2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753338 Ta2CrNO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1661785 LiMn2(BO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227420 VCuO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555994 Li2VO2F Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-18843 SrCr2BiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-653922 Ta2CrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195132 AlFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559430 Li2VBO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760204 BaAlCuWO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772974 Mn5(SeO3)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1285900 MnCO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19287 Li8MnCr3O12 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1301965 Ti3Fe9O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753142 Na7Li3V10O30 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222932 Na2ErPWO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19359 CsVH12(C2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759000 Li7Mn5O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775022 RbNbWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-2508 Cr3CoTe2(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766637 Mn(ReO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201322 CuSb(MoO4)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mvc-10701 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220913 Cs2Mo4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221015 NaCoPH10CO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-3085 Li2U5MoO19 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753488 Li2Mn3O6 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1076543 TbVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1288258 Li2Ti3MnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177499 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227032 YMo2O7F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1183139 NaFeH22C10(NO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176478 Li8(FeO2)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1037121 NbVO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760210 LiVPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173997 YCu(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557553 LiCrPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753612 CaCr2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753149 Li2MnSnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753992 LiV3O8 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-775296 Na2VPO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757151 Li9Mn7O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176215 Mn6O5F7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764607 BaMgMnF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560864 Li2VPO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1295764 K2Be2NiH6F8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-769486 Li5Co7O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705034 LiFePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1037750 LiNiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175294 VGa2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755687 TlV2AgO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1013911 Sr2NiWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560338 ZnNiP2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-18901 Na2Te4MoO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1225274 Na4Al3Fe(SiO3)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1287184 Ni3Sb4(OF)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850355 Li3NiOF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-777875 Mn3Co(PO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193132 MgMnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757179 Li2MnSi3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1277814 V4Ge13O36 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-622602 Ca2Mo3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776014 Ca2LaMn2O7 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-735541 Sr2CoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1317973 MnZn4O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18992 Nd2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759811 Mn2AsO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1224302 Li2MnFe(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198550 KMg2AlFeSi3(HO6)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1177811 Ba2ScV3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-27479 Co2PH2CO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176793 Li2Ni3OF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755692 Li2U(MoO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757291 Li2FeBO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754592 BaSr7Co4(CuO6)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1278576 SrCaTiMnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200859 Li3FeOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1077403 V2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221598 Li2VO2F3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752941 NiHgO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752789 Li9V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744776 Mg3MnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-41473 Li2FeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1575669 Li2CoSi3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194202 Tm2MoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1205381 Ba3Nb2CoO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-689934 Li3Mn(SbO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227627 K2MoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1182219 Sr7Mn4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1181609 LiCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753686 Na3TbV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-138 SmV2BiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218906 FeHO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559910 CaMoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758000 Ca(FeO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173115 Li3VP2HO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1190931 CoH15Br2(N3O)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1272625 Ca2MnSbO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560690 Li6Fe5WO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1202326 Li7Mn5O12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-752778 Li4FeSi2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770641 FeO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211463 Ca2VIrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228162 VPPb3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-688785 VPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1190493 Ca(CoO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780303 VCdCuO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1203032 Li2MnO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-779250 Na3TbV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768404 Ba2MnNbO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1319687 Li3MnVP2(O4F)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1247625 V2SiO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765999 Na4MnO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850188 Cr2(Bi2O5)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559481 Cr(PO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-9754 Li3CrF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19212 Na4VHO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753713 LiMoAsO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17863 Li3Mn2CrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1191085 LiFePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777414 CrAgO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1315316 LiMnPO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1195643 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205183 KLa5V2O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557332 K2Cr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209246 Na2DyPWO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759102 CrO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198060 TiMn3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-647813 KCo(CO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201666 Co(AsO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-35596 Li3V2(O2F)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771843 Nb15MoO40F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556507 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776096 ZnCrH28C6N12Cl5O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1104567 K3V(SO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227669 Cr2FeNO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
