mp-1218391 Ba2La6Mg4Ti3WO24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-22608 Mn2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26197 LaZnCrFeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757179 Sr2TiMnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752430 Tb2Hf2(MoO4)7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209819 ZnCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-562513 Ca2ZnFe(SiO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1002574 Mo3Cl4O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1101183 Li2Ni(PO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753144 K4Li5Cr2O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-24234 La4Ni3WO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177474 NaMg30CoO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555794 V2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758448 Li3Cr(BO3)2 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mvc-10467 Ba3Nb2NiO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223629 Li4Mn3Nb2V3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759043 Mn6O5F7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1224205 TiNbFeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768097 TlBi(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768647 Li3CrSiCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174535 Li7Mn2(CoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850399 SmV2O2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24835 VHO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776474 Ba3V2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-699914 Li3V4FeO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755485 Ti(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-22006 Li2VF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757948 Li3Fe3CoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770750 Li5Cu2Ni3O10 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1216330 RbNiW(OF)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-510456 VCdCuO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223676 Pr5Te7MoCl3O23 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-12540 BaLiCoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1079306 Li2TiV5O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1204421 MgV2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558897 CsPr(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-703684 VFeSbO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766496 Na2FeO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1176908 NiTe(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556459 YTi(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10238 Pr2CoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753446 Li4MnOF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214791 Ag2Mo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1205217 Li2Ti4Co(PO5)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1296214 Y2Mo4O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-769881 Sr2MnGaO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-763344 MnNi(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763209 Mn5SbO12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1200210 LiNbFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752988 ErCu(WO4)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1192030 Li7NiOF7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-562216 LiMnP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196327 CoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177781 Ba2NiWO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-540947 Li3CoNi3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192576 VAgO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17542 Li2V(CO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772361 Li6V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19660 Ca2TiMnO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204461 KNiH9(CO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176659 FeF2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212977 LiMnBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558757 CoH8(SO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-562985 LiTi3VO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18829 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1111049 TiV5(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1207646 K12Mo4S11Cl4O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18520 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1207107 Sr10Mg5Mo4WO30 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557087 Mn2FeAg2(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1183719 KCrNiF6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-23064 VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752967 K3NaMoC4(N2O)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25388 Fe(BO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778931 LiMnP2HO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768707 LiCoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765091 Li5Mn3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767373 Co4Pb(CO)16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1105721 CsDy(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210796 Na2Mo2Se2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-863424 K2Mo2H4C4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759304 Ba3NiSb2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756582 V7O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-735596 Co21O40 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773097 NiSeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209716 Li2MnCr(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-4606 Mn6O5F7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757934 Cs3NiF7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1218688 MnHO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558067 Cs2Cr4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756993 DySbMo2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556508 Fe4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18097 Ca3CoRhO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-685230 Li5FeOF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-7860 Na2V2CoH4(OF)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211965 Mo2PbSe2O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768600 KCr(SO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-781606 VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867704 Na9Mn21O40 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754506 NaMnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194022 YEr3V4O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-644594 CrPb5O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777686 BaFe2(P2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770663 Li3Mn7O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744328 Na2U(MoO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1078969 Cs2V2H2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177021 Fe5CuO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1567910 Mg3FeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1219450 NiH12S2(NO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760339 KNi(PO3)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-18856 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1275405 Sc2(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-714885 MnTe(PbO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214986 LiFe2OF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-504994 KLiEr2(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561048 FeSbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-549671 CsTiMnOF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23823 NaMoAsO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1207940 Li4V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1104220 Ca3LaFe2(MoO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755545 NaDy(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1275491 Li3V(OF)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-720829 MoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217930 ZrMoWO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764760 SrMgV2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210404 NbTlWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772417 SrCa3Mn4O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867726 Tl2CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18487 Ca2Fe7O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19202 Li6MnFe5(BO3)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758992 LiFeBO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-23637 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780391 LiVP3H8O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757550 VF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-745180 Na4Mo(NO)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-770530 FePH6NO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1295198 Fe3Co3(SbO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1286995 Li4Nb3Co3(TeO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1203895 Li2VF7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222689 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1190839 V3OF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1304444 CsBaCr3F12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557843 BaCr2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753902 Ba3V2(PO5)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849447 Ga2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1182159 Li2CrP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554485 Ho(MoO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776134 Ca4Mn2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19464 Li3Cr(Si2O5)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776294 CsRbMo3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776152 Li5Fe3(BO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18892 FeOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-34296 Sr2CoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-36484 Ta2CrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195132 Li2Mn(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101189 LiCr(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560774 Li2MnPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505040 U3Ag6Mo5O27 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555962 MoH8(NO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757110 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849767 Li7V3(SiO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192358 LiCoH24C8(N2O3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850540 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-5828 Li3Fe4(BO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-611817 MoPNO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771843 Mn2Cd3O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554804 B2Mo(PbO2)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752796 NbWNO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-581396 CrSn(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20223 KRb2Mo(OF)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1288387 TiMnO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19449 KMn(SeO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212800 NaCoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756200 LiV3(TeO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-694916 KFePCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1224835 KLiLu2(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558070 Li2VOF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214694 Ba5V3HO13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208998 KCa2Mg2V3O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19391 LiTiV3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1178445 CsVSeO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1226454 Fe2B2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174137 K8V2(S2O9)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774192 Mn2ZnO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-21614 KVOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559081 La2CoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23082 CaV2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205806 Ni(RhO2)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-863393 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18571 Li2NiBiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1286090 Sr3Fe2(ClO2)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-705042 VF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752853 Mo2H12C4N2O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202049 Y3Mn2Sb3O14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554482 Zn3Co2(GeO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761105 Li4VP2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744527 HoVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1664022 VCr2Ni3(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17899 Li2VF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754421 Li8FeCo3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213137 DyMoBrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849701 Li6VO5F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775755 LiCoPO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19490 Li2Mn3(BO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756221 Sr2NiMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-553968 MgV5H20NO22 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-643263 NaNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760974 Mn6O5F7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194649 Cs2ZrMn(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772044 CaFeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754411 CaCr(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761008 AlV2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753024 FeSiO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-776403 KSc(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776041 Ca2MgV10(H8O11)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-16917 Li2MnF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757684 ScVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705604 Cd4MoW3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-562797 Co(C2O3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849568 Sr9LuV7O28 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754986 Rb2Cd2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214059 Li4Mn2V3Sn3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1178210 Rb2U2Mo3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554313 K2NaV5H10O19 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25233 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1311179 ZnNiP2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-556338 Sr2NiSe2(ClO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-31122 LiMn(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211532 Mn(AsO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505009 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196049 Ba2MnGe2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1183253 CoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176388 LiNiPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18751 CoSn2H12(OF)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867581 BaV2TeO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-545469 K4Mo2H6S2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218567 NaFeSO4F Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1177904 Ho2(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101657 LiVF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1076502 LiV(CO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209254 Li2V3SnO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557772 CaNi4O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22224 V2Bi4O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558484 Y4Mn13Si2(SbO14)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555710 Cr2NiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760347 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759163 Ba2FeWO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1272458 K2RbHoV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-23718 Cs6Fe2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213697 Li2VSiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756301 Li7Mn2(CoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774300 Na3CoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1279252 CaU(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779358 CrHgO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216403 Nd2W2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753866 NiBiPO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-18952 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-585038 Cs2MoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1254209 Li5FeO3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223021 NdCrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755536 VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1199707 LiVGeO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195555 Ni(SbO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1456 MnH2SeO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-553996 Li2CaV12O32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755670 Hg2MoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-683652 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772306 NaVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1245204 Cd(CoO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756204 In2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752626 VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776000 Ti3Mn2Sb(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1305171 Li2VP3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753595 Li5Ti2Mn3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19403 Li3MnCr2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1273655 Li3FeSiO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210325 CoBiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753080 Li3Ni2O2F3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-572715 CrO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227657 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1076198 Y2Cr3O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774351 Li4V2Cr3Sb3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-541578 Li4FeOF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25280 V2O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-16909 Tl2Fe2(SO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863398 Rb2MnH2OF5 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-27309 K2TlCoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198533 CaNi3O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754877 Li3TiCo3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755739 Li6V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1190916 CoN6(ClO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
