mp-775211 Li3MnSiCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-584637 K3Cr4PO16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1247634 Li2Mg2MnFe(PO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178212 VF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221578 CrO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101558 MoH(ClO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19101 NbTlV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-24129 Li2NiCSO7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19277 BaNi2(AsO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-11086 KSb(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22822 RbFeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1076214 Mo3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211622 Li2FeP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204397 Cs7Co4F15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765083 Cr2H2Pb4ClO10F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19112 LiCaNiF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176045 Ba2V4Cd3O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754053 Li17Ni11O28 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-715262 V2Cd(PO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211039 MnPH2(CO)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767269 Li4MnCo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-9015 Li5V3P8O29 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1286995 MgTi3Pb5WO15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24250 RbPr(MoO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1195983 Si3(MoO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-605486 Li2ZnFe(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1038048 KSm(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211310 V6H2Pb4Se3O26 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768606 LiCoP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193927 YCu(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-781602 Th2Te3MoO13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-735596 NaV(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174228 MnO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775205 SrFeO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759153 NaCdFe(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754728 Sr12Zn2Co6O25 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770248 K4MoWO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757922 SrCa7FeCo7O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1256989 Na2MnSiCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19226 Ba5V3ClO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-706292 LiVF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18988 Li5NiOF5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19189 NiH6C2(NO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-42264 Li4V3Sn3(TeO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1274757 ErCu(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505168 Li2FeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1261307 LiPr(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559299 Mg2MnSbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555215 CoH16C4(NO)7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-684724 MoF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1101223 MnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-600168 VOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779358 SrTlVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199268 LiVZnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-683666 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756162 RbHo(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18749 Na3CoBPO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556428 Ba2LaV3O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540969 Li7Mn5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-687091 VOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753457 Li2CoSi3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19087 DyWClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755096 KV5Zn(H8O11)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560902 Ca8V7ZnBiO28 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-695805 CsEr(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765415 NaFe(SeO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209807 Li2MnCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757054 K2MnHgF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198660 V2Zn3O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213697 U(MoO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26403 LaMoBrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850933 VPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174095 LaMgTiFeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752787 SrMnZn(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775305 LiMnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-972384 MgCrSiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1570791 LiMnSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780181 LiFeSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554838 CsVSO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221377 VBi(PbO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760947 Ca2Ta2MnO8 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1181810 Cr2AsC10ClO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770571 PrCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754419 Li5Ti2V3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758560 Li4VFe3O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-560671 Mn2OF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213209 LiCrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201217 MnCd4O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177493 Mn4O7F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768474 MnCdO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-643564 K3V3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540111 KLa(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775164 Li2V3CoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767351 Li2CoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765715 KBa3Y2(Co3O8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765293 Ca2ZnFe(SiO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210784 K3CrC5N6O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221398 LiVOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1002574 Li5V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-27806 Mg2FeWO6 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-19497 Li2FeO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1281111 Na3VS3O Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202658 LiV(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-3624 Ag3Mo3AsO13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758914 Rb5LiSi2NiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1302618 VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173115 Ba2HoCoCu2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757268 Li3Fe(OF)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177754 Li3MnFe2(BO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759969 VCdCuO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176722 LiTiFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758064 MnOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780114 LiFe4(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754888 SrMnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208998 V2Hg(P2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223502 CoHO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753500 MgCrF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19376 BaNb4(FeO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-25948 Sr2Mn2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1099713 Li2CoSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772531 Y2MoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-704944 Li2CrSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-32108 Cs2ZrMn(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-699398 Li2Fe(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228103 LiZnCr3(SO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1279869 MnP6(WO8)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-626794 Na6(NiO2)7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1096819 VP2C4N3(ClF6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1275624 FePb2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222932 Na3Co2SbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756567 CrAgO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-697556 Fe3O5F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1193122 Li3Mn4(BO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175843 Mn5(AsO5)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752578 CaFeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1239384 AlCoNF6 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-695780 Li2Mo4O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1217766 K2Mo3O10 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-554213 InCu(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757413 Na2MoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-743549 LiFePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223759 Mn3Cr2Sn(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-15106 NaNiBO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1238790 SrLa3(NiO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211449 CaMn2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753187 LiMnF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1661826 MnBiAsO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209367 CrCoH15N5ClO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757006 Sr10Mg5Mo4WO30 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1105399 Li2FeNi(PO4)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-756924 KCoH6(N3O4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101700 MnBiPO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1177186 V2Bi4O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1264179 NiBiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221083 LiVO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863961 Rb2CoAgF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17968 NaV3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31124 Li6Fe(O2F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1640786 Li2FeSi3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744756 Bi8(MoO7)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556606 CsMoF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-7825 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205736 Fe(HO)2 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-510408 NaMoAsO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1221541 VO2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-770829 SmMoO4F Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-758030 Nb2WO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228970 Li5Fe8(BO3)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554787 Hf(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-743681 Sr2MnGe2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208834 BaSr4(FeO2)5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1239311 Li7MnO5F Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-17967 MgCo(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761524 Dy2Mo4O15 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-753501 BaNi2(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557086 VAgTeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753962 K2Mo(SO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765405 Li3V(H4O3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561554 CoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-762897 Ca8Mn7CrO22 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24234 Li2TiCr3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177499 Li2VP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554275 RbMg30CoO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-532050 NaLi2NiPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-510732 Ba6Na2Ta2V2O17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175877 K12Mo4S11Cl4O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776162 BaMo2C4O17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-7383 Ti2CrO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212303 Li2Mn3F8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744755 Li3Ti2V2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770872 K5Mo8As(H3O16)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198457 Li5Mn2CoO8 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mvc-12242 KVH4O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19047 Li2V4CuNiO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194597 ErBiW2O9 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1309606 LiFePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755509 Y2W2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211563 LiY(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175461 Li3Fe(Si2O5)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757934 Ca2MnO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849418 Li3Fe(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758830 ZrCrO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218351 SrCaTiMnO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19300 BaBi12Mo5O34 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756249 Sr2YFeCu2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755365 LiCr2(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19859 CoP3H16N4O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178577 V2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196381 Li3MnVP2(O4F)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1182068 Li2MnO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757293 K2Mo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556209 Li3MnFe2(BO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774822 Al2CoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561165 Ba4ScReWO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18883 La7Nb3(W2O15)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-851270 Li2U3V2O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10592 Mo(HO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1036755 LiCoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213009 VSO4F3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-769539 Li2Mn2(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849267 Li4Mo3O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-554228 CrO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755942 V6H2Pb4Se3O26 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-27309 CrC7N2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772600 V2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754896 Li4Ti2Fe3Co3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775818 TbWClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22938 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1192408 LiMnPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-777104 LiNiPO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1320993 Na8(NiO2)9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504510 Co4B6O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1522849 Ca5V3ClO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777469 TlVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752524 Ba3V4ZnO14 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174829 ZrNi5(BO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1301543 K2UMo(IO6)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1101189 NbCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772183 LiVMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760312 LiV3Zn2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176417 TmWClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222209 CoH12PdC4(NO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755984 Li4Mo5O17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1661938 V2Cd2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756057 VCuO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1568372 Ti9Fe11O30 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1203002 Li5Mn2Fe3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752796 BaLaMnSbO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19213 VCuHPbO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761253 K2LiMnPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18001 Li5Mn2CoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1287553 Sr2NiMoO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1221475 V2ZnPbO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1251086 FeOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218828 Rb6U(Mo2O9)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760393 Li2CoOF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208079 Mo(NO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-767145 CrAuO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1237291 CoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101349 Fe4OF8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761229 RbLiCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554839 NaCaMn2P3(HO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
