mp-1178577 Li6CrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-505784 MnNi5(BO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19019 MnOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764336 MgCo2(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19070 MnOF Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-754510 MgMn2O4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1022733 Li7Mn4O12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1201834 Ba2MgCuMo2F14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774410 LiNiPO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-752976 Hg2Mo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-562220 SrV2(AsO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744576 CrH12Pd(NO)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174330 Cr3(FeO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-15888 UCr(HO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560755 Cs2MnF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554052 V3O5F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27597 Rb2Cr2Cd(H2O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777758 V2Bi8O17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-975958 Li2CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754097 VOF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-29984 YbMoClO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-705013 FeBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223374 LiVO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754391 V2ZnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753817 Na2CrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771332 LiVF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176038 BaTi18Mn3O38 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849394 Y4CdMo3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-505405 NaVH2I2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849372 Fe2BO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1285067 Li5FeOF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177722 Li2Mn2F7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19407 Cr3Si3Pb10(ClO12)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176292 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227034 Mo2(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1188841 Mn6OF11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-691119 Li2Fe4O3F8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765415 LiV2O5F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216790 Mg3Ge3(MoO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1641880 Li4TiMn8O18 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756217 Li2CrSi3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761026 NaVTeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1099821 Li3Ti(NiO2)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761341 Li2MnP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17545 NpCrO11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1111066 Na(NiO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211570 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504210 CoF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-584129 Dy2(MoO4)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1039892 VPPb3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1076884 CoH4SO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174136 Li2MnFe(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19460 LiNiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228618 NiSeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174448 CoH15Br2(N3O)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755422 Na3CoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753602 V2SiO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1298313 Na3V2PO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1226968 Ca2MnWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755096 RbNd(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-30205 VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555219 Ba2Mg2Tl2Ni3O10 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-759065 LiNiBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-14106 MnH2(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-581324 KTm(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1197601 K2RbSmV2O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-774048 CaLaNbCoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766513 MgCr(GeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755729 MnSnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209347 Li2TiFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1036235 K17Fe5O16 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1178789 CrH10S2(NO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175599 Li8MnFe7(BO3)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174195 LiFeSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-622602 NaFeF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1650315 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1178498 Li4FeOF4 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-1194859 Eu2Ni2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771843 Ba2V2CuClO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780710 Ba3Dy2MoO9 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1305516 Zr(MoO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1100719 K4V2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759738 Sr2MnNbO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218557 BaLiCoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1569015 K2Mo2P2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176384 CaFeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-567548 Sr4Mn2Nb4Bi4O23 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1219781 Na5LiCo2P2(CO7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20349 LiCoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1643420 LiNbWO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-25455 VCuO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-630880 TaCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18740 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1220201 MnPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201418 Sr5Cr3O12F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-11726 Y2WO6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-554152 Mn2Hg(CO)10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1568822 Ti3Bi6WO18 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-651601 Mg2IrWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556409 Ho2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178302 K2Cr2AsHO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754028 SbMoOF9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1111053 RbNa2CoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-4408 PrVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559500 Li5TiV3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753240 Li4CoOF5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1224026 CoH2SeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776054 ZnFe(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1319349 Na2Hf(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775200 VHO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756492 Li2V(Si2O5)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755986 CrC5SO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758105 Co2BiB(PO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754436 NaDy(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-584012 Li7Mn5O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556289 MnRe(CO)10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19359 VOF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1199318 Ga2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1274351 LiVCoO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1301965 Nd3W(ClO2)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1203404 Sr2LaMn2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26521 Li7Fe3(SiO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774256 Na5Tb(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26896 Li2MnO2F Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1213316 Fe4As10PbO22 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-552162 CsCr(SO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-2085 MnGeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1076319 CsNbV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192249 V2Pb4(Se2O7)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1216053 V2Cd6Se5O21 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1038171 Ti2CoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19105 Nb2NiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217203 Ba5V3HO13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208766 BaCa(NiO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214860 Rb2CoPb(NO2)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218100 Li3TiMn2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773197 KCrClO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777529 ZnFe4CuO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753381 NaFePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755701 Na5Li3V8O24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753756 Na6Mo11O36 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1202595 VZnPbO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101685 ZnSi2NiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1639659 CsSm(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221360 LiCr(PO3)4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mvc-7968 RbNd(MoO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1173889 Li2Ti3MnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222091 Li2FeSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1104615 RbUCrNO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1063607 LiVF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174388 Cr2O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849390 Li2V2CoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25233 Li3NiAsCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1202077 LiFePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777472 BaVSi2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758712 NiTeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758296 VBO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-626316 Fe2C8SO10 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1036803 KVH2SeO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19038 CoH20C4(N5O6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211965 K(Mo2O3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209389 Li5Mn(CO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756699 K4MoC4(N2O)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753193 RhWN5ClO4 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1173171 Li2Ti3NiO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26219 Na6Li3Fe6(PO4)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1277255 Li3Mn(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-626406 CsY(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554326 Li6NiOF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541775 MgCrH22O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1567270 CoP2H17N4O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209334 Li2FeSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759690 Pr2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554787 NaFeP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-742819 LiFe4(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755882 CrO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19172 Na(FeO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18832 K3TmV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753377 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-773184 Na2LiFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-22802 Mn2PClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-584817 LiCo2OF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770659 LiMn(PO3)3 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1218102 Al3CrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212425 NiP3H12NO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559172 CaVBiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760202 CoH8SO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201589 Li4V2SiGeO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19590 Bi2MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-864958 Dy2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557209 NiBiPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-8998 Ag2Mo3SeO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-996996 Ni4P2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1272749 Li2MnP2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1191084 Li3CrPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1291343 LaZnCrBiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101210 V3(H3O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778108 Na6U(Mo2O9)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867558 Li5Mn(CoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1281111 CsPr(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1095280 CoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-541512 MoO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752765 Eu2Mo5O18 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767265 Na2VPO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178291 Li3Mn5Cr2O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1303410 LiCoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756181 Li2CoSiO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1211595 Fe7(SiO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-1236 Pr3BWO9 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-762643 Ba2NiMoO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1176528 Cr2CdH14(NO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759721 RbLiMoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1253260 V2OF8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849516 TmMn2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222689 MnH11C5NO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770862 Li7Mn5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770912 Cr8O21 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-549237 TiCrSO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-4368 Li3VO3F2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757296 Na6CoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-715482 LiTiNiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-684782 MnVCuO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-891955 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-627380 Li5Mn4(P2O7)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223617 RbV2SbO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1568152 LiVO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
